HOUSEID,HHFAMINC,HOMEOWN,HHSIZE,YOUNGCHILD,URBAN,HHVEHCNT,HH_CBSA
30002834,8,1,1,0,1,1,41940
30002860,2,2,1,0,1,0,19100
30002933,6,1,1,0,1,1,31080
30002934,6,2,1,0,1,0,41860
30002991,4,2,1,0,1,1,31080
30003003,6,1,3,1,1,2,12420
30003034,11,1,3,0,1,3,47900
30003039,4,2,2,0,1,2,26420
30003044,7,1,2,0,1,4,41940
30003049,1,1,1,0,1,0,37980
30003057,10,1,2,0,1,3,40900
30003127,9,1,1,0,1,2,35620
30003153,6,1,3,0,1,2,12060
30003188,1,2,1,0,1,0,41180
30003209,4,1,2,0,1,2,35620
30003215,3,2,1,0,1,1,37980
30003247,11,2,2,0,1,1,41940
30003267,5,2,2,0,1,1,19100
30003274,6,2,1,0,1,1,14460
30003297,3,1,1,0,1,1,31080
30003372,6,1,2,0,1,3,19740
30003385,10,1,3,0,1,3,19100
30003410,6,1,1,0,2,1,33460
30003425,7,1,2,0,2,1,40380
30003489,5,1,1,0,4,4,15380
30003499,7,1,2,0,4,1,35620
30003531,2,1,2,0,4,1,12420
30003557,7,1,1,0,1,2,41940
30003574,8,2,2,0,1,2,19100
30003577,5,1,2,0,1,2,41860
30003594,8,1,2,0,1,4,35620
30003630,8,1,2,0,1,2,41740
30003650,7,1,1,0,1,1,41860
30003653,8,1,2,0,1,2,35620
30003663,11,1,2,0,1,7,19100
30003671,7,1,2,0,1,3,33340
30003672,5,1,2,0,1,2,35620
30003676,2,1,1,0,4,1,26420
30003703,10,1,2,0,1,2,41860
30003745,6,1,1,0,2,1,26420
30003777,11,1,2,0,4,4,47900
30003810,8,2,1,0,1,1,40900
30003837,3,2,1,0,1,0,41860
30003854,7,2,1,0,1,1,33340
30003864,5,1,3,0,1,3,26900
30003879,9,2,1,0,1,1,31080
30003894,5,1,1,0,1,1,31080
30003904,5,2,1,0,1,1,42660
30003958,11,1,2,0,1,3,33340
30003985,11,1,2,0,1,2,40900
30004024,10,1,2,0,1,2,31080
30004034,6,1,2,0,1,2,41860
30004045,1,2,1,0,2,0,41700
30004085,10,2,2,0,1,1,41860
30004090,7,1,2,0,1,3,26420
30004110,8,1,2,0,1,2,19100
30004153,5,1,2,0,2,1,40900
30004154,6,1,2,0,1,2,40900
30004158,9,1,2,0,1,2,32820
30004196,9,1,1,0,1,1,41940
30004199,1,2,1,0,1,1,19100
30004211,7,1,2,0,1,1,14460
30004215,11,1,4,2,1,2,12060
30004225,8,1,1,0,4,3,19100
30004230,5,1,1,0,1,1,40900
30004263,3,1,4,2,1,2,26420
30004277,11,1,2,0,1,2,41740
30004279,10,1,2,0,1,4,19100
30004315,3,1,1,0,1,1,12420
30004319,7,2,2,0,1,3,26420
30004320,5,1,1,0,1,1,19100
30004328,11,1,2,0,1,2,26420
30004384,4,1,1,0,4,1,26420
30004446,4,1,2,0,1,1,35620
30004461,3,1,1,0,1,1,41700
30004471,7,1,2,0,1,2,16740
30004482,1,2,2,0,1,0,19100
30004492,6,2,1,0,1,1,40900
30004496,7,1,2,0,1,2,19100
30004497,5,1,1,0,4,1,37980
30004508,1,2,1,0,1,1,19100
30004554,4,1,1,0,1,1,33340
30004585,8,1,1,0,1,2,35620
30004597,10,1,2,0,1,2,41940
30004610,6,1,1,0,1,1,41740
30004624,11,1,3,0,1,5,26420
30004637,8,1,4,0,1,2,31080
30004643,4,1,2,0,1,2,40900
30004649,8,2,3,0,1,1,19100
30004660,6,1,1,0,1,1,19100
30004714,3,1,1,0,1,1,33340
30004749,6,2,1,0,1,1,26420
30004826,6,2,1,0,1,1,41860
30004859,7,2,2,0,1,0,12060
30004939,6,1,3,1,1,2,35620
30005019,5,2,1,0,1,2,40900
30005074,8,1,1,0,1,3,31080
30005082,5,1,1,0,1,2,41860
30005093,6,1,2,0,1,3,40380
30005115,11,1,5,0,1,6,40900
30005120,10,1,3,0,1,3,19100
30005150,1,2,1,0,4,1,12060
30005238,8,2,2,0,1,2,12580
30005287,4,1,3,0,1,2,38060
30005315,3,1,1,0,1,1,35620
30005365,5,1,2,0,1,1,41740
30005372,9,1,2,0,1,2,35620
30005383,6,1,1,0,1,1,40380
30005395,6,1,1,0,1,1,38300
30005414,6,1,1,0,1,1,19100
30005460,6,2,3,1,1,1,16980
30005470,6,2,2,0,1,2,13820
30005484,1,2,2,0,2,2,12060
30005490,4,2,2,0,1,2,14460
30005513,6,2,2,0,2,4,19100
30005526,4,1,4,0,1,2,31080
30005537,11,1,2,0,1,2,33340
30005550,10,1,2,0,1,2,12060
30005590,8,2,2,0,1,2,31080
30005593,5,2,1,0,1,1,41700
30005609,7,1,4,0,1,4,26420
30005615,3,2,2,0,1,2,12060
30005619,6,2,2,0,1,2,19100
30005626,10,1,1,0,1,1,41940
30005679,11,1,1,0,4,2,19100
30005689,5,1,2,0,1,2,31080
30005693,4,2,1,0,1,2,19100
30005703,6,1,1,0,1,1,33340
30005713,4,1,1,0,1,1,35620
30005716,8,1,4,0,1,3,38060
30005759,11,1,2,0,1,5,12420
30005792,3,1,2,0,1,2,39580
30005796,7,1,2,0,1,2,41740
30005812,9,1,2,0,1,3,12060
30005849,7,1,1,0,1,1,47900
30005855,6,1,3,0,1,4,12060
30005868,2,1,1,0,1,2,12060
30005888,8,2,1,0,1,1,19100
30005903,4,1,2,0,1,2,40900
30005957,4,2,1,0,1,1,33340
30006022,7,1,2,0,1,2,19100
30006029,3,1,1,0,1,1,33340
30006031,11,1,3,0,1,3,31080
30006037,9,1,2,0,1,3,33340
30006042,9,2,2,0,1,3,37980
30006087,8,1,2,0,1,1,26420
30006097,5,1,2,0,1,2,35620
30006109,6,97,2,0,1,2,41700
30006123,9,1,3,0,4,3,41740
30006202,8,1,3,1,1,2,47900
30006216,8,1,1,0,1,1,19100
30006229,8,1,2,0,1,2,26420
30006271,8,1,2,0,1,2,40900
30006273,7,1,4,0,1,2,35620
30006321,7,2,3,1,1,2,12580
30006329,5,1,1,0,1,0,41700
30006331,4,2,1,0,1,1,19100
30006392,8,1,2,0,1,3,19100
30006418,7,1,2,0,1,2,35620
30006460,6,2,2,0,1,1,12060
30006537,11,1,1,0,1,1,26420
30006546,7,2,2,0,1,2,26420
30006551,7,1,1,0,4,3,41940
30006579,3,2,1,0,1,1,26420
30006599,6,1,7,0,1,4,31080
30006622,7,1,1,0,1,1,19100
30006678,5,1,1,0,1,1,12420
30006685,3,2,1,0,1,0,24340
30006686,6,2,2,0,1,1,31080
30006725,8,2,2,0,1,2,26420
30006755,5,1,1,0,1,1,40060
30006763,8,1,2,0,1,1,38060
30006848,6,1,2,0,1,2,35620
30006850,10,1,1,0,1,2,41860
30006878,3,1,1,0,2,1,16740
30006898,8,1,2,0,1,2,33340
30006952,1,1,1,0,2,0,26420
30006957,4,2,1,0,2,1,15380
30006983,9,1,2,0,4,2,19100
30006987,4,2,2,0,1,2,41860
30006997,8,1,1,0,1,3,26420
30007034,3,2,3,1,1,1,19100
30007067,6,1,2,0,4,2,12060
30007076,6,1,2,0,1,1,41700
30007129,8,1,2,0,1,2,33340
30007134,5,1,2,0,1,4,41700
30007159,2,2,1,0,1,0,41940
30007193,7,1,2,0,4,2,35620
30007204,5,2,2,0,1,1,12060
30007209,6,1,2,0,1,3,40900
30007225,6,1,1,0,1,1,33460
30007260,8,1,2,0,1,5,35620
30007345,7,1,1,0,1,1,40380
30007386,6,1,1,0,1,1,41740
30007389,5,1,2,0,1,2,19100
30007393,5,1,1,0,1,1,41740
30007452,3,2,5,0,1,5,41740
30007456,6,1,2,0,2,2,40140
30007463,9,1,1,0,1,1,40900
30007465,6,1,1,0,1,2,12060
30007479,1,1,2,0,4,2,41700
30007500,5,2,1,0,1,1,31080
30007524,5,2,1,0,1,2,41740
30007528,6,1,1,0,1,1,40380
30007554,8,1,1,0,4,2,40900
30007564,6,1,1,0,1,1,26420
30007583,4,1,1,0,1,1,26420
30007592,6,1,2,0,4,6,19100
30007603,8,1,1,0,1,2,35620
30007605,11,1,2,0,1,2,14460
30007611,8,1,4,0,1,5,38060
30007646,8,1,2,0,1,2,35620
30007648,8,1,3,0,2,3,19100
30007685,6,1,1,0,2,1,40900
30007689,6,2,2,0,1,2,12060
30007723,10,1,2,0,1,2,31080
30007726,6,1,1,0,2,1,19100
30007730,1,1,1,0,1,0,16740
30007741,4,1,2,0,1,1,19100
30007757,10,1,3,0,1,3,35620
30007778,1,1,3,0,1,5,40900
30007779,5,2,1,0,1,1,41740
30007907,1,1,1,0,4,1,15380
30007913,3,2,2,0,1,2,12420
30007923,7,1,2,0,1,2,12420
30007925,3,1,2,0,1,2,12420
30007929,11,1,2,0,4,2,12060
30007952,7,1,2,0,1,1,40140
30007974,7,1,1,0,1,1,40900
30007986,4,1,1,0,1,1,19100
30008013,9,1,3,0,1,4,31080
30008044,5,2,3,0,1,4,26420
30008057,10,1,2,0,1,2,40140
30008076,11,1,1,0,1,2,35620
30008086,10,1,2,0,1,2,41740
30008112,11,1,3,0,1,3,19100
30008132,2,1,1,0,1,1,33100
30008157,6,1,3,1,1,1,35620
30008169,7,1,1,0,1,1,14460
30008176,8,1,2,0,1,2,19100
30008182,11,1,2,0,1,3,31080
30008188,9,1,3,0,1,3,31080
30008204,9,1,1,0,1,1,31080
30008251,6,1,2,0,4,2,15380
30008258,3,1,2,0,1,1,35620
30008308,6,2,1,0,1,2,39300
30008312,4,1,2,0,4,2,24340
30008340,11,2,2,0,1,10,19100
30008350,9,1,1,0,1,1,41740
30008374,11,1,2,0,1,4,19100
30008376,6,1,2,0,1,2,19100
30008426,9,1,4,0,1,5,19100
30008433,8,2,2,0,1,2,33340
30008482,5,2,2,0,1,2,19100
30008483,6,1,3,1,1,2,15380
30008488,6,1,2,0,4,2,38060
30008502,6,1,2,0,1,5,33340
30008527,10,1,2,0,1,2,40900
30008677,8,1,1,0,1,1,40900
30008715,3,1,1,0,1,0,40900
30008760,5,2,1,0,1,2,33340
30008784,3,1,1,0,2,1,12420
30008793,7,1,2,0,1,2,33340
30008794,2,97,1,0,1,1,40900
30008810,6,1,1,0,1,1,12060
30008825,9,1,1,0,1,1,31080
30008831,2,2,1,0,1,1,19740
30008856,1,2,2,0,1,1,40900
30008870,8,1,3,0,1,4,12420
30008876,10,1,2,0,1,2,26420
30009004,10,1,2,0,4,2,40380
30009005,10,1,2,0,1,2,19100
30009016,6,1,1,0,1,1,33340
30009087,7,1,2,0,1,2,35620
30009118,9,1,2,0,1,2,19100
30009145,7,1,4,2,1,2,26420
30009166,10,1,2,0,1,2,31080
30009172,3,1,2,0,1,2,31080
30009173,6,2,2,0,1,2,31080
30009189,8,2,2,0,1,2,41740
30009193,6,1,2,0,1,2,15380
30009210,11,1,2,0,1,2,33340
30009251,11,1,3,0,1,2,35620
30009266,6,1,3,0,1,3,26420
30009299,6,1,3,1,1,3,19100
30009337,10,1,1,0,1,2,19100
30009367,5,1,2,0,1,2,40900
30009429,7,2,2,0,1,1,47900
30009434,11,1,3,1,4,2,26420
30009438,6,1,2,0,1,2,40140
30009452,10,1,2,0,1,0,31080
30009516,10,1,4,0,1,3,41860
30009549,3,2,2,0,1,1,16740
30009616,7,1,2,0,1,2,38060
30009626,6,2,1,0,1,2,12420
30009632,11,1,2,0,2,2,19100
30009635,8,2,3,0,1,1,35620
30009643,4,1,2,0,1,2,16980
30009656,8,1,2,0,1,2,16980
30009669,7,1,2,0,1,2,33340
30009672,4,1,2,0,4,1,33340
30009704,6,1,2,0,4,3,12060
30009706,4,2,4,2,1,3,16740
30009711,6,1,1,0,1,2,41700
30009720,3,1,1,0,1,1,19100
30009770,8,1,4,0,1,3,35620
30009776,5,2,2,0,1,2,39580
30009786,9,1,2,0,1,2,12060
30009834,8,2,2,0,1,2,31080
30009843,5,2,1,0,1,1,33100
30009856,10,1,2,0,1,1,35620
30009872,4,1,3,0,1,1,31080
30009926,1,2,2,0,2,0,35620
30009955,8,1,2,0,1,2,40900
30010044,8,1,4,0,4,3,17140
30010059,8,1,2,0,1,2,35620
30010117,6,1,4,0,1,3,33340
30010128,8,1,3,0,1,3,35620
30010129,10,1,4,0,1,3,26420
30010172,6,2,1,0,1,1,26420
30010203,10,1,1,0,1,3,33340
30010234,5,2,1,0,1,1,47900
30010253,7,1,1,0,1,2,41860
30010259,7,1,1,0,1,2,40900
30010301,6,1,1,0,1,1,19100
30010378,6,1,2,0,1,2,19100
30010384,6,1,1,0,1,1,19100
30010387,9,1,2,0,1,2,19100
30010429,11,1,2,0,1,1,41860
30010430,5,2,2,0,1,0,41180
30010434,6,1,2,0,1,1,39580
30010513,11,1,2,0,4,2,35620
30010533,6,1,1,0,1,1,19100
30010571,9,1,2,0,4,3,19100
30010584,7,2,1,0,1,1,12420
30010614,5,2,1,0,1,1,28140
30010619,4,2,1,0,1,1,31080
30010621,3,2,1,0,1,1,26420
30010665,4,2,2,0,1,2,15380
30010678,2,2,1,0,1,3,40900
30010732,3,1,1,0,1,1,40900
30010749,7,1,2,0,4,4,42660
30010762,6,2,2,0,1,2,16740
30010784,9,1,3,0,4,3,35620
30010791,8,1,2,0,1,5,31080
30010796,6,2,2,0,1,2,41860
30010814,5,1,2,0,1,2,41860
30010819,5,2,1,0,1,1,33340
30010841,2,1,1,0,1,1,35620
30010856,6,1,2,0,1,2,41700
30010866,1,2,2,0,1,2,35620
30010870,10,1,2,0,1,3,33340
30010897,11,1,4,0,1,3,35620
30010899,8,1,2,0,1,2,17140
30010908,7,1,2,0,1,2,12060
30010917,10,1,5,0,1,3,31080
30010920,3,2,2,0,1,2,40900
30010930,6,2,1,0,1,1,19100
30010968,3,2,2,0,1,2,26420
30010979,8,1,4,0,1,4,41860
30011053,8,1,1,0,1,1,29820
30011074,3,2,1,0,1,1,31080
30011093,9,2,2,0,1,2,41860
30011138,7,2,1,0,1,1,12420
30011141,6,1,1,0,1,1,35620
30011148,4,1,1,0,1,1,38060
30011150,7,1,1,0,1,1,38060
30011205,7,1,1,0,1,3,31080
30011210,2,2,2,0,1,0,41740
30011221,5,1,1,0,1,1,31080
30011251,9,1,2,0,1,2,16740
30011253,5,1,2,0,4,2,40900
30011261,6,1,1,0,4,2,32820
30011328,7,1,3,0,4,3,35620
30011331,4,1,1,0,1,1,41180
30011340,5,1,1,0,1,1,38300
30011341,11,1,2,0,1,3,40900
30011358,4,2,3,0,1,2,41860
30011360,5,1,2,0,4,2,39580
30011409,2,2,1,0,1,1,31080
30011415,10,1,2,0,1,2,38060
30011416,7,1,2,0,1,2,33340
30011417,11,1,1,0,1,3,12420
30011422,9,1,2,0,1,1,35620
30011425,11,1,4,0,1,3,35620
30011454,9,1,2,0,1,2,41860
30011475,2,2,1,0,1,2,12420
30011491,6,1,3,1,1,2,12060
30011533,4,1,3,0,1,3,40140
30011545,4,1,5,2,1,3,38900
30011599,5,2,1,0,1,1,16740
30011621,1,2,1,0,1,0,18140
30011640,6,1,1,0,1,2,26420
30011666,6,1,2,0,1,4,41860
30011692,4,1,1,0,1,1,12580
30011713,3,1,3,0,1,1,39300
30011741,1,1,3,0,2,3,35620
30011759,6,1,1,0,1,1,12420
30011777,7,2,1,0,1,0,16980
30011783,9,1,2,0,1,3,40900
30011800,7,1,2,0,1,2,31080
30011809,10,1,2,0,1,2,35620
30011829,10,1,2,0,4,2,35620
30011944,6,1,1,0,1,1,26420
30012015,8,1,1,0,1,1,17460
30012088,6,1,1,0,1,2,40900
30012127,6,1,2,0,4,2,35620
30012168,2,2,1,0,1,0,40900
30012199,6,1,3,0,1,3,14460
30012232,5,1,1,0,1,1,31080
30012236,8,1,2,0,1,1,40900
30012240,2,2,1,0,1,0,19100
30012269,5,1,2,0,1,2,12060
30012285,7,2,1,0,1,0,35620
30012308,8,2,1,0,1,1,12420
30012332,5,2,1,0,1,2,19100
30012384,9,1,2,0,1,2,33340
30012386,7,1,2,0,1,3,47900
30012414,6,2,2,0,1,2,39580
30012422,6,2,1,0,1,1,41860
30012462,9,1,1,0,1,1,41740
30012529,4,1,1,0,1,2,33340
30012560,8,1,4,2,1,2,26420
30012562,6,1,2,0,1,1,19100
30012578,11,1,2,0,1,2,19100
30012592,4,2,1,0,1,1,33340
30012698,1,2,1,0,1,1,31140
30012815,7,1,2,0,1,2,12420
30012833,8,1,2,0,1,2,41740
30012847,5,1,2,0,1,3,37980
30012876,1,1,1,0,1,2,41740
30012907,4,2,1,0,1,1,33340
30012934,9,1,2,0,1,1,19100
30012937,6,1,2,0,1,2,41740
30012940,7,1,2,0,1,4,33340
30012965,7,1,5,0,1,4,26420
30012984,1,1,1,0,1,1,19100
30013016,4,2,2,0,1,1,19100
30013046,1,2,1,0,1,0,26420
30013117,11,1,2,0,1,2,41740
30013119,4,1,2,0,1,2,33460
30013193,6,2,1,0,1,1,41740
30013219,6,1,2,0,1,2,26420
30013242,7,1,2,0,1,1,19100
30013246,6,1,2,0,4,2,35620
30013259,1,2,3,0,1,3,47260
30013320,7,1,4,0,1,3,38060
30013322,6,1,3,0,1,3,41700
30013342,9,1,2,0,1,2,26420
30013384,5,1,2,0,1,1,40900
30013439,5,2,5,0,1,6,41860
30013475,6,1,1,0,1,1,12420
30013500,5,2,1,0,1,1,38900
30013531,8,1,1,0,1,1,41940
30013575,7,1,2,0,1,4,16740
30013617,6,1,2,0,1,1,12060
30013669,8,2,2,0,1,1,26420
30013694,6,1,1,0,1,1,17140
30013741,2,1,1,0,1,1,41740
30013790,6,1,4,0,1,3,19100
30013807,5,2,1,0,1,1,19100
30013827,5,2,2,0,1,1,19100
30013833,8,1,1,0,1,1,41740
30013842,4,1,1,0,1,1,12060
30013847,5,1,1,0,1,1,33340
30013861,4,1,1,0,1,1,35620
30013881,5,1,4,0,4,3,41700
30013884,6,2,1,0,1,1,35620
30013887,5,2,2,0,1,2,40900
30013888,5,1,1,0,1,1,19100
30013905,8,2,3,1,1,2,41860
30013913,11,1,1,0,1,1,19100
30013942,11,1,4,2,1,2,40900
30014021,6,2,1,0,1,2,19100
30014027,7,1,1,0,1,1,26420
30014049,7,1,1,0,1,1,31080
30014051,8,1,2,1,1,1,33340
30014054,8,2,2,0,2,3,33460
30014060,9,1,3,0,1,3,19100
30014084,7,1,4,0,2,3,33340
30014086,7,1,2,0,1,3,12060
30014092,5,1,2,0,1,2,12420
30014111,1,97,1,0,1,2,19100
30014124,8,1,2,0,1,3,41940
30014139,5,1,2,0,4,2,19100
30014180,8,1,2,0,1,2,40900
30014185,11,1,3,0,1,2,33340
30014265,6,1,2,0,2,2,40900
30014275,1,1,4,0,1,3,12060
30014283,2,1,1,0,1,0,12060
30014297,5,2,1,0,1,1,35620
30014315,7,1,2,0,1,2,19100
30014360,3,2,2,0,1,1,45300
30014367,4,2,1,0,1,1,40140
30014376,3,1,2,0,1,1,15380
30014392,5,1,1,0,1,1,41860
30014406,5,1,1,0,1,2,33460
30014473,4,2,1,0,1,0,26420
30014491,6,2,1,0,1,1,12060
30014500,4,1,1,0,1,1,33100
30014571,6,1,1,0,1,2,41740
30014574,8,1,2,0,1,6,40900
30014580,5,1,2,0,1,2,15380
30014588,4,1,1,0,1,3,16740
30014591,5,1,2,0,1,2,19100
30014598,7,1,3,0,1,4,35620
30014618,11,1,2,0,4,2,26420
30014643,6,1,2,0,1,3,35620
30014646,6,1,1,0,1,1,12060
30014647,8,2,1,0,1,1,33340
30014652,10,97,2,0,1,1,31080
30014673,1,2,1,0,2,0,16740
30014688,10,2,2,0,1,2,47900
30014706,6,1,1,0,1,1,38900
30014717,8,1,2,0,1,2,12420
30014801,9,1,2,0,1,1,40900
30014806,1,2,1,0,2,1,16740
30014837,7,1,2,0,1,1,40900
30014843,5,1,2,0,1,2,33340
30014873,1,2,1,0,1,0,12420
30014884,11,1,2,0,1,2,12420
30014907,7,1,2,0,1,2,35620
30014910,8,1,2,0,1,2,31080
30014918,3,2,1,0,1,1,31080
30014954,4,1,2,0,1,3,33340
30014964,6,1,1,0,1,2,35620
30014971,9,1,2,0,1,2,12420
30014978,11,1,2,0,1,3,12420
30014986,3,2,1,0,1,0,19100
30014988,10,1,2,0,1,2,40900
30014994,6,2,2,0,1,2,41700
30015000,4,2,4,0,1,3,38060
30015012,8,1,1,0,1,2,35620
30015055,1,1,1,0,1,0,15380
30015077,2,2,1,0,1,0,35620
30015089,9,2,2,0,1,0,35620
30015142,5,2,4,2,1,2,31080
30015147,5,2,1,0,1,1,40380
30015160,5,2,1,0,1,1,39580
30015203,9,1,2,0,1,2,12060
30015211,11,2,1,0,1,1,35620
30015233,7,1,3,0,1,1,26420
30015266,5,1,1,0,1,1,26420
30015292,7,1,3,0,1,3,40900
30015324,3,1,2,0,1,2,19100
30015329,5,2,1,0,1,1,19740
30015341,8,1,2,0,1,2,38900
30015343,6,1,1,0,1,1,40900
30015400,5,1,2,0,1,2,12580
30015416,3,2,2,0,1,1,35620
30015418,6,1,2,0,1,1,40900
30015435,4,1,2,0,4,2,41860
30015439,9,1,2,0,1,2,40900
30015483,5,1,2,0,1,2,12060
30015492,10,1,2,0,1,3,40900
30015526,7,1,2,0,4,3,33340
30015550,10,1,2,0,1,2,17460
30015595,3,2,1,0,1,1,19100
30015609,6,1,1,0,1,1,41740
30015627,10,1,2,0,1,2,26420
30015649,4,2,2,0,1,3,12060
30015653,1,2,1,0,1,1,12580
30015710,7,1,2,0,1,2,12420
30015722,6,1,3,0,1,3,35620
30015727,5,2,1,0,1,0,31080
30015730,9,1,2,0,1,1,35620
30015784,7,1,2,0,2,3,40380
30015797,6,1,2,0,1,2,26420
30015811,8,1,1,0,1,1,35380
30015935,11,2,3,1,1,2,40900
30015955,8,1,2,0,1,2,35620
30016003,6,1,2,0,1,2,29820
30016030,4,2,2,0,1,0,12060
30016087,2,1,2,0,1,1,12060
30016152,7,1,3,0,4,4,38300
30016172,6,2,2,0,1,2,41740
30016200,6,2,1,0,1,3,19100
30016211,5,1,4,0,4,4,35620
30016216,6,2,1,0,1,1,41860
30016283,8,1,2,0,1,2,35620
30016361,5,1,2,0,2,3,16980
30016399,7,2,2,0,1,2,12580
30016416,7,1,2,0,4,4,33460
30016452,7,2,1,0,1,1,16980
30016454,4,1,1,0,1,1,42660
30016467,10,1,3,0,1,4,12060
30016535,11,2,2,0,1,1,41860
30016543,6,2,1,0,1,1,19100
30016701,6,1,1,0,1,1,31080
30016703,2,2,1,0,1,1,33340
30016705,2,1,1,0,1,1,39580
30016797,11,1,3,0,1,3,19100
30016822,5,2,3,0,1,2,40900
30016827,6,1,2,0,2,1,35620
30016844,3,1,1,0,1,1,12580
30016880,3,1,2,0,1,2,19100
30016918,7,1,4,2,1,2,16740
30016959,5,1,2,0,1,1,12580
30017023,7,1,2,0,4,5,12060
30017096,9,1,2,0,1,3,41180
30017098,7,1,2,0,1,2,19100
30017099,6,1,1,0,1,1,37980
30017130,6,1,1,0,4,1,40380
30017134,10,1,2,0,1,2,19100
30017139,8,2,2,0,1,2,37980
30017146,7,1,2,0,1,4,34980
30017181,6,1,1,0,1,1,40900
30017192,2,2,2,0,1,1,17460
30017207,8,2,1,0,1,1,36740
30017232,6,1,2,0,1,2,41700
30017241,8,1,1,0,1,1,26420
30017242,3,1,1,0,1,2,40060
30017269,11,1,3,0,1,2,16980
30017273,1,2,3,0,1,2,40900
