HOUSEID,PERSONID,GASPRICE,TRAVDAY,TDAYDATE,TRPTRANS,TRPMILES,TRVLCMIN
30001556,2,208.5,5,201609,1,0.476,18
30001593,1,274.3,4,201610,2,4.234,28
30001608,1,232.8,4,201609,2,43.373000000000005,80
30001608,2,232.8,4,201609,2,34.981,70
30001625,1,233.1,4,201604,4,2.984,60
30001625,1,233.1,4,201604,6,3.099,135
30001629,1,214.9,5,201608,2,4.28,19
30001629,2,214.9,5,201608,2,2.6500000000000004,18
30001645,1,220.8,7,201608,1,0.2,10
30001645,2,220.8,7,201608,2,4.804,23
30001646,1,215.3,6,201610,2,17.855999999999998,75
30001654,1,220.4,4,201606,2,37.021,68
30001654,2,220.4,4,201606,2,14.958,40
30001685,1,230.8,6,201612,2,18.576,61
30001707,1,208.8,6,201607,2,36.833,56
30001755,1,237.1,5,201606,2,35.563,103
30001755,2,237.1,5,201606,2,82.88,141
30001757,1,278.5,2,201606,2,5.059,35
30001774,1,233.2,3,201606,6,3.4370000000000003,30
30001785,1,272.4,4,201605,2,124.11500000000001,193
30001785,1,272.4,4,201605,4,18.368000000000002,120
30001785,2,272.4,4,201605,2,29.861,66
30001811,1,259.6,6,201608,2,56.183,86
30001865,1,205.2,5,201608,2,42.228,110
30001865,2,205.2,5,201608,2,23.537,65
30001865,4,205.2,5,201608,2,62.19,133
30001888,2,266.0,7,201609,2,3.468,20
30001917,1,225.9,6,201608,2,62.043,178
30001917,2,225.9,6,201608,2,76.16300000000001,105
30001938,1,249.5,2,201606,2,2.31,90
30001947,1,215.2,7,201610,2,11.982,40
30001947,2,215.2,7,201610,2,11.982,40
30001956,1,273.4,2,201607,2,233.115,240
30001956,2,273.4,2,201607,2,233.115,240
30001989,1,217.5,1,201608,2,17.509,52
30001989,2,217.5,1,201608,2,17.509,51
30001995,1,215.2,2,201607,1,1.5,30
30001995,1,215.2,2,201607,2,33.089,101
30002049,1,278.5,4,201606,2,18.351,60
30002066,1,218.0,3,201607,2,2.714,11
30002066,2,218.0,3,201607,2,11.546,42
30002093,1,259.6,4,201608,1,0.889,2
30002093,1,259.6,4,201608,2,46.245000000000005,91
30002095,1,259.6,4,201608,2,3.618,30
30002253,1,273.4,5,201607,2,60.155,131
30002268,1,274.3,6,201610,2,26.991,63
30002274,1,236.1,1,201609,1,1.3050000000000002,55
30002286,1,219.8,2,201605,2,11.832,52
30002324,1,215.3,6,201610,2,1.133,20
30002371,1,212.7,4,201611,1,0.444,86
30002371,1,212.7,4,201611,2,16.554000000000002,53
30002395,1,230.2,2,201605,2,44.998999999999995,101
30002395,2,230.2,2,201605,2,42.954,93
30002408,1,226.9,1,201609,2,2.8529999999999998,20
30002408,2,226.9,1,201609,2,2.8529999999999998,20
30002436,1,226.9,2,201609,2,9.038,28
30002462,1,273.4,4,201607,2,30.0,185
30002462,2,273.4,4,201607,2,45.477000000000004,110
30002480,2,273.8,1,201606,2,7.11,40
30002484,1,282.6,7,201607,1,0.072,8
30002484,1,282.6,7,201607,2,75.744,136
30002497,1,220.3,4,201606,2,43.796,60
30002497,2,220.3,4,201606,2,43.796,60
30002507,1,259.6,4,201608,2,35.596999999999994,78
30002507,2,259.6,4,201608,2,105.04599999999999,160
30002567,1,276.3,7,201611,2,23.405,66
30002590,1,208.5,5,201609,1,1.346,43
30002590,1,208.5,5,201609,2,13.95,99
30002590,2,208.5,5,201609,1,0.196,10
30002590,2,208.5,5,201609,2,1.986,22
30002618,1,208.8,6,201607,1,0.75,30
30002618,1,208.8,6,201607,2,16.729,65
30002639,1,235.0,3,201610,2,80.267,169
30002639,2,235.0,3,201610,2,46.755,86
30002639,3,235.0,3,201610,2,68.059,111
30002645,1,231.0,3,201608,2,4.668,40
30002721,1,208.5,3,201609,2,91.654,211
30002756,1,273.4,6,201607,2,10.233,29
30002762,1,273.8,2,201605,2,115.983,120
30002762,2,273.8,2,201605,2,115.983,120
30002762,3,273.8,2,201605,2,16.815,60
30002834,1,265.6,3,201608,1,0.25,18
30002834,1,265.6,3,201608,2,5.949,44
30002860,1,203.8,5,201608,1,2.778,90
30002933,1,278.7,3,201607,1,1.396,46
30002933,1,278.7,3,201607,2,44.441,158
30002934,1,266.0,5,201609,1,0.566,10
30002934,1,266.0,5,201609,3,4.135,42
30002934,1,266.0,5,201609,4,14.004,85
30002991,1,271.6,2,201609,2,4.666,20
30003003,1,216.5,5,201610,2,62.876,90
30003034,1,233.1,5,201604,2,64.73400000000001,190
30003034,2,233.1,5,201604,2,39.952000000000005,95
30003034,3,233.1,5,201604,2,4.0920000000000005,20
30003039,1,207.9,7,201609,2,8.921,25
30003039,2,207.9,7,201609,2,20.417,65
30003044,1,273.8,6,201606,2,60.569,140
30003044,2,273.8,6,201606,2,41.236000000000004,76
30003057,1,273.4,1,201607,2,133.43599999999998,120
30003057,2,273.4,1,201607,2,134.659,130
30003127,1,237.2,4,201610,1,0.001,5
30003127,1,237.2,4,201610,2,109.825,174
30003153,1,230.1,3,201605,2,28.085,82
30003153,2,230.1,3,201605,2,79.433,210
30003153,3,230.1,3,201605,4,4.4,50
30003209,1,240.2,4,201610,2,102.745,155
30003209,2,240.2,4,201610,2,50.381,246
30003215,1,234.2,1,201609,1,1.488,20
30003215,1,234.2,1,201609,2,27.191,85
30003247,1,278.5,6,201606,1,2.278,62
30003247,1,278.5,6,201606,5,59.42,135
30003247,1,278.5,6,201606,7,34.002,84
30003247,2,278.5,6,201606,1,2.278,62
30003247,2,278.5,6,201606,5,66.498,147
30003247,2,278.5,6,201606,7,30.825,75
30003267,1,203.2,6,201611,2,21.896,38
30003267,2,203.2,6,201611,2,29.965000000000003,54
30003274,1,227.9,2,201608,1,1.0,50
30003274,1,227.9,2,201608,2,5.01,24
30003297,1,275.3,4,201611,2,1.79,65
30003385,1,207.9,5,201609,2,24.247,55
30003385,2,207.9,5,201609,2,1.9689999999999999,20
30003385,3,207.9,5,201609,2,2.34,20
30003410,1,225.9,2,201608,2,29.38,60
30003425,1,247.8,1,201606,2,54.447,140
30003425,2,247.8,1,201606,2,54.447,115
30003489,1,246.5,1,201606,3,311.09000000000003,436
30003499,1,231.0,3,201608,2,135.238,230
30003499,2,231.0,3,201608,2,135.24,230
30003531,2,205.2,6,201608,2,69.499,170
30003574,1,211.5,6,201607,1,0.111,7
30003574,1,211.5,6,201607,2,8.219999999999999,34
30003574,2,211.5,6,201607,1,0.95,15
30003574,2,211.5,6,201607,2,8.786999999999999,31
30003594,1,239.9,4,201605,2,55.16,119
30003594,2,239.9,4,201605,2,94.381,142
30003650,1,271.6,2,201609,2,53.528,155
30003653,1,235.6,3,201609,2,23.349,120
30003653,2,235.6,3,201609,1,3.5,75
30003663,1,208.8,5,201607,2,159.799,326
30003663,2,208.8,5,201607,2,100.902,265
30003671,1,210.8,6,201611,2,154.769,135
30003671,2,210.8,6,201611,2,21.386,75
30003672,1,233.1,4,201604,2,9.519,55
30003672,2,233.1,4,201604,2,49.913,140
30003703,1,278.7,2,201607,2,13.215,113
30003703,2,278.7,2,201607,2,10.746,105
30003745,1,203.8,3,201608,2,1.522,10
30003777,1,245.5,6,201607,1,0.668,20
30003777,1,245.5,6,201607,2,26.903,61
30003777,2,245.5,6,201607,1,2.9,60
30003777,2,245.5,6,201607,2,24.319,58
30003810,1,271.0,6,201605,3,26.615,113
30003837,1,263.5,1,201608,1,0.036,5
30003837,1,263.5,1,201608,3,0.821,5
30003837,1,263.5,1,201608,4,17.691,80
30003837,1,263.5,1,201608,5,15.984,170
30003854,1,224.2,2,201607,2,39.242000000000004,95
30003864,1,224.4,6,201609,2,11.172,50
30003864,2,224.4,6,201609,2,16.356,60
30003879,1,274.0,3,201610,2,4.491,30
30003904,1,274.3,4,201610,2,23.433,169
30003958,1,218.1,5,201604,2,51.855999999999995,92
30003958,2,218.1,5,201604,2,51.855999999999995,92
30003985,1,279.7,5,201607,1,0.302,6
30003985,1,279.7,5,201607,2,32.814,90
30003985,2,279.7,5,201607,2,13.893,30
30003985,2,279.7,5,201607,3,29.746,90
30004024,2,263.7,5,201608,1,0.207,10
30004024,2,263.7,5,201608,2,4.663,25
30004024,2,263.7,5,201608,7,4.613,20
30004034,1,266.0,4,201609,2,23.023,50
30004034,2,266.0,4,201609,2,127.496,280
30004045,1,207.6,1,201608,3,10.082,140
30004085,1,282.6,1,201607,2,29.527,87
30004090,1,216.5,7,201610,2,62.448,150
30004090,2,216.5,7,201610,2,5.468999999999999,40
30004110,1,208.5,2,201609,2,11.145,45
30004110,2,208.5,2,201609,2,11.145,45
30004153,1,273.4,4,201607,2,32.150000000000006,54
30004153,2,273.4,4,201607,2,32.150000000000006,54
30004154,1,271.0,2,201605,2,8.192,34
30004154,2,271.0,2,201605,2,9.448,60
30004158,1,216.6,1,201611,1,4.0,50
30004158,1,216.6,1,201611,2,10.03,29
30004158,2,216.6,1,201611,1,1.169,15
30004158,2,216.6,1,201611,2,16.902,20
30004158,2,216.6,1,201611,7,10.375,15
30004158,2,216.6,1,201611,8,968.0899999999999,190
30004196,1,282.6,6,201607,2,3.3049999999999997,22
30004199,1,208.8,5,201607,2,45.489000000000004,165
30004211,1,221.9,3,201608,1,0.888,39
30004211,1,221.9,3,201608,6,13.61,217
30004211,2,221.9,3,201608,1,1.6300000000000001,34
30004211,2,221.9,3,201608,2,8.41,50
30004211,2,221.9,3,201608,6,13.658000000000001,90
30004215,1,218.4,6,201608,1,1.104,20
30004215,1,218.4,6,201608,2,4.345000000000001,15
30004215,2,218.4,6,201608,2,17.051,65
30004225,1,218.0,5,201607,2,110.63999999999999,247
30004230,1,274.3,3,201610,2,7.749,45
30004263,2,211.5,6,201607,2,11.235,60
30004277,1,273.4,1,201607,1,2.552,80
30004277,2,273.4,1,201607,1,1.7750000000000001,95
30004279,1,216.5,1,201610,2,27.711,103
30004279,2,216.5,1,201610,2,27.711,106
30004315,1,225.0,4,201606,2,22.918,95
30004319,2,207.6,3,201608,10,12.508,29
30004320,1,211.8,5,201609,2,19.509,59
30004384,1,217.1,4,201605,1,0.8,60
30004384,1,217.1,4,201605,2,27.586,95
30004446,1,241.0,5,201611,2,10.184999999999999,60
30004446,2,241.0,5,201611,2,10.184999999999999,60
30004471,1,225.3,2,201609,1,2.5,80
30004471,1,225.3,2,201609,2,24.595000000000002,109
30004471,2,225.3,2,201609,2,8.142,30
30004482,1,207.9,5,201609,7,44.43,240
30004482,2,207.9,5,201609,2,1.0899999999999999,60
30004492,1,265.6,2,201608,2,3.583,40
30004492,1,265.6,2,201608,4,10.413,80
30004496,1,219.8,4,201606,2,60.385000000000005,169
30004496,2,219.8,4,201606,2,60.385000000000005,169
30004497,1,239.5,5,201610,2,16.393,80
30004554,1,242.5,6,201606,2,138.87900000000002,195
30004585,1,235.6,5,201609,2,135.745,245
30004597,1,271.6,4,201609,1,1.0070000000000001,30
30004597,1,271.6,4,201609,2,3.753,10
30004597,1,271.6,4,201609,5,94.5,190
30004597,2,271.6,4,201609,2,25.253999999999998,114
30004610,1,273.4,5,201607,2,43.703,45
30004624,1,203.8,6,201608,2,105.098,193
30004624,2,203.8,6,201608,2,179.671,249
30004624,2,203.8,6,201608,8,429.03,84
30004624,3,203.8,6,201608,2,46.949,103
30004637,1,269.9,5,201609,2,74.17699999999999,120
30004637,2,269.9,5,201609,2,58.604,115
30004637,3,269.9,5,201609,2,3.564,30
30004637,3,269.9,5,201609,4,5.544,75
30004637,4,269.9,5,201609,1,3.2640000000000002,60
30004637,4,269.9,5,201609,2,35.952,60
30004643,1,282.6,4,201607,2,64.08500000000001,140
30004643,2,282.6,4,201607,2,59.559,128
30004649,1,207.6,5,201608,2,102.007,212
30004649,2,207.6,5,201608,2,52.477000000000004,108
30004649,3,207.6,5,201608,2,1.591,8
30004649,3,207.6,5,201608,4,1.583,17
30004660,1,207.9,5,201609,1,0.378,3
30004714,1,229.7,4,201607,2,26.493000000000002,95
30004749,1,211.8,5,201609,1,0.28200000000000003,13
30004749,1,211.8,5,201609,2,25.320999999999998,123
30004826,1,266.0,7,201609,2,2.428,6
30004859,1,219.2,4,201607,1,3.7279999999999998,82
30004859,2,219.2,4,201607,1,3.499,67
30005074,1,270.1,3,201605,2,33.797000000000004,167
30005082,1,274.4,4,201610,2,32.149,85
30005093,1,234.2,3,201609,2,29.508000000000003,70
30005093,2,234.2,3,201609,2,46.953,117
30005115,1,259.6,7,201608,2,5.818,30
30005115,2,259.6,7,201608,2,16.046,75
30005115,3,259.6,7,201608,1,3.0,75
30005115,4,259.6,7,201608,2,5.909,50
30005115,5,259.6,7,201608,1,3.0,105
30005120,1,205.4,4,201608,2,18.163,30
30005120,1,205.4,4,201608,7,19.701,90
30005120,1,205.4,4,201608,8,731.342,180
30005120,2,205.4,4,201608,2,18.163,30
30005120,2,205.4,4,201608,7,19.7,90
30005120,2,205.4,4,201608,8,731.342,180
30005150,1,225.3,5,201609,2,1.282,10
30005238,1,239.5,6,201610,1,0.482,12
30005238,1,239.5,6,201610,2,8.059,65
30005238,2,239.5,6,201610,1,0.999,15
30005238,2,239.5,6,201610,2,5.395,35
30005287,1,271.0,1,201605,2,33.57,87
30005287,2,271.0,1,201605,2,1.931,5
30005287,3,271.0,1,201605,2,5.718999999999999,28
30005315,1,240.5,3,201607,1,0.202,10
30005315,1,240.5,3,201607,2,14.28,51
30005365,1,263.5,3,201608,2,17.58,34
30005365,2,263.5,3,201608,2,17.58,34
30005372,1,236.4,2,201607,2,48.771,87
30005372,2,236.4,2,201607,2,42.798,70
30005383,1,241.3,1,201605,2,7.255,35
30005395,1,236.1,2,201609,2,5.706,15
30005414,1,215.2,3,201607,2,30.34,81
30005460,1,223.6,6,201609,1,0.444,20
30005460,2,223.6,6,201609,1,0.888,40
30005470,1,215.2,7,201607,1,0.056,3
30005470,1,215.2,7,201607,2,15.336,58
30005470,2,215.2,7,201607,1,0.056,3
30005470,2,215.2,7,201607,2,31.982,107
30005484,1,225.3,2,201609,2,126.049,180
30005490,1,232.4,4,201610,2,35.31100000000001,95
30005490,2,232.4,4,201610,2,36.14,117
30005526,1,272.4,4,201605,2,14.426,45
30005526,2,272.4,4,201605,2,60.14,139
30005526,3,272.4,4,201605,2,9.568999999999999,30
30005526,4,272.4,4,201605,2,30.196,84
30005537,1,220.8,5,201608,2,15.251,85
30005537,2,220.8,5,201608,1,2.93,45
30005537,2,220.8,5,201608,2,9.652000000000001,55
30005550,1,219.2,3,201607,1,1.725,55
30005550,1,219.2,3,201607,2,51.913,135
30005550,2,219.2,3,201607,2,26.506999999999998,44
30005590,1,270.2,3,201605,1,0.09,5
30005590,1,270.2,3,201605,2,28.325,105
30005590,2,270.2,3,201605,2,13.097999999999999,60
30005593,1,215.3,7,201610,2,9.271,50
30005609,1,208.5,2,201609,2,58.402,132
30005609,2,208.5,2,201609,2,9.25,35
30005609,3,208.5,2,201609,2,62.923,145
30005609,4,208.5,2,201609,2,29.273,80
30005619,1,215.2,2,201610,2,36.393,105
30005619,2,215.2,2,201610,2,25.070999999999998,68
30005626,1,271.2,2,201611,2,18.200000000000003,90
30005679,1,220.4,1,201607,2,9.544,38
30005689,1,265.6,1,201609,2,4.532,20
30005689,2,265.6,1,201609,2,4.532,20
30005693,1,203.8,6,201608,2,33.998000000000005,70
30005703,1,255.4,3,201606,1,0.136,2
30005703,1,255.4,3,201606,2,30.007,71
30005713,1,235.7,5,201609,1,0.135,5
30005713,1,235.7,5,201609,2,7.1240000000000006,30
30005716,1,263.5,1,201608,2,6.6370000000000005,30
30005716,3,263.5,1,201608,7,357.849,405
30005716,4,263.5,1,201608,2,6.6370000000000005,30
30005759,1,208.5,7,201609,2,33.299,101
30005759,2,208.5,7,201609,2,29.382,87
30005759,2,208.5,7,201609,3,13.434999999999999,40
30005792,1,236.0,3,201610,2,27.1,66
30005792,2,236.0,3,201610,2,12.988,26
30005796,1,271.7,6,201609,2,29.197,75
30005796,2,271.7,6,201609,2,25.689,45
30005796,2,271.7,6,201609,8,1333.517,360
30005812,1,237.1,2,201610,2,27.685,86
30005812,2,237.1,2,201610,2,11.163,38
30005849,1,230.1,7,201605,2,110.483,149
30005855,1,228.4,6,201609,2,68.90199999999999,160
30005855,3,228.4,6,201609,2,55.829,165
30005868,1,228.1,5,201609,2,10.164000000000001,45
30005888,1,205.4,1,201608,1,0.577,10
30005888,1,205.4,1,201608,2,11.9,51
30005903,2,274.0,6,201610,2,24.604,116
30005957,1,231.3,3,201610,2,25.762999999999998,90
30006022,1,208.8,5,201607,2,47.11,150
30006022,2,208.8,5,201607,2,74.453,165
30006029,1,242.5,6,201606,1,0.222,1
30006031,1,273.8,6,201606,2,79.325,180
30006031,2,273.8,6,201606,2,58.379000000000005,105
30006037,1,255.4,3,201606,1,9.003,90
30006037,1,255.4,3,201606,2,8.061,19
30006037,2,255.4,3,201606,7,29.211,27
30006037,2,255.4,3,201606,8,435.46,127
30006042,1,236.8,2,201609,2,34.763,79
30006042,2,236.8,2,201609,2,84.628,145
30006087,1,209.4,5,201605,2,20.985,88
30006097,1,247.8,7,201606,2,270.17600000000004,300
30006097,2,247.8,7,201606,2,91.377,135
30006109,1,212.0,5,201610,1,0.46799999999999997,30
30006109,2,212.0,5,201610,1,0.078,5
30006123,1,266.0,6,201609,2,18.499,70
30006123,2,266.0,6,201609,2,6.42,30
30006123,3,266.0,6,201609,2,80.83,120
30006202,1,242.6,4,201606,2,40.83,96
30006202,2,242.6,4,201606,1,1.48,23
30006202,2,242.6,4,201606,5,66.14500000000001,141
30006216,1,205.2,3,201608,2,23.4,120
30006229,1,207.9,5,201609,2,20.913999999999998,85
30006271,1,274.3,4,201610,2,155.683,266
30006271,2,274.3,4,201610,2,17.341,56
30006273,1,233.8,3,201607,2,23.060000000000002,65
30006273,2,233.8,3,201607,4,31.642,150
30006321,1,236.1,1,201609,2,39.561,195
30006321,2,236.1,1,201609,2,17.485999999999997,120
30006329,1,207.6,6,201608,2,8.21,24
30006331,1,216.5,5,201610,2,37.805,108
30006392,1,219.8,3,201605,2,81.455,156
30006392,2,219.8,3,201605,2,27.854,63
30006418,1,235.6,5,201609,1,0.332,4
30006418,2,235.6,5,201609,2,41.766000000000005,130
30006460,1,236.0,5,201610,2,14.189,70
30006460,2,236.0,5,201610,2,7.49,25
30006537,1,212.0,3,201610,2,6.332,38
30006551,1,272.4,3,201605,2,32.918000000000006,60
30006579,1,207.6,2,201609,1,0.056,60
30006579,1,207.6,2,201609,2,60.0,240
30006599,1,278.7,4,201607,2,37.589999999999996,105
30006599,2,278.7,4,201607,2,15.393,90
30006599,3,278.7,4,201607,2,25.986,50
30006599,4,278.7,4,201607,2,38.334,110
30006599,5,278.7,4,201607,2,19.167,55
30006678,1,218.0,2,201607,2,16.648,40
30006685,1,229.7,6,201607,1,0.148,10
30006685,1,229.7,6,201607,2,6.554,30
30006686,1,276.3,5,201606,2,30.728,43
30006725,1,205.2,1,201608,2,17.434,61
30006725,2,205.2,1,201608,2,52.7,101
30006755,1,233.1,4,201605,2,43.248,124
30006763,1,274.3,1,201701,2,105.045,150
30006763,2,274.3,1,201701,2,7.452,10
30006848,1,236.8,7,201610,2,150.37,227
30006848,2,236.8,7,201610,2,151.18099999999998,231
30006850,1,278.6,1,201606,2,55.104,130
30006878,1,214.9,2,201608,2,15.494,44
30006898,1,224.4,3,201609,1,0.828,20
30006898,1,224.4,3,201609,2,44.561,60
30006898,2,224.4,3,201609,2,13.398,28
30006898,2,224.4,3,201609,3,11.802,55
30006952,1,215.2,6,201610,1,3.6029999999999998,104
30006952,1,215.2,6,201610,4,2.859,269
30006983,1,218.0,5,201607,1,2.0,75
30006983,1,218.0,5,201607,2,35.442,68
30006983,2,218.0,5,201607,1,2.0,75
30006983,2,218.0,5,201607,2,14.724,30
30006987,1,266.0,4,201609,1,1.78,35
30006987,1,266.0,4,201609,4,1.488,40
30006987,2,266.0,4,201609,3,2.825,45
30006997,1,211.3,4,201609,2,6.859,30
30006997,1,211.3,4,201609,4,39.976,78
30007034,1,217.1,2,201605,1,0.722,5
30007034,1,217.1,2,201605,2,19.276,53
30007034,2,217.1,2,201605,2,9.047,50
30007067,1,232.8,7,201609,2,27.409,90
30007067,2,232.8,7,201609,2,27.41,90
30007076,2,212.7,5,201611,1,0.5,30
30007076,2,212.7,5,201611,2,15.558,70
30007129,1,222.2,6,201609,2,50.084,150
30007129,2,222.2,6,201609,2,30.736,130
30007134,1,207.6,6,201609,2,42.036,125
30007134,2,207.6,6,201609,2,24.014000000000003,55
30007159,1,273.4,1,201607,4,14.315,190
30007159,1,273.4,1,201607,6,22.963,75
30007193,1,246.5,6,201606,2,24.125,60
30007193,2,246.5,6,201606,2,98.373,175
30007204,1,222.7,2,201608,2,53.663,89
30007204,2,222.7,2,201608,2,53.663,98
30007209,1,259.6,1,201608,2,12.217,40
30007209,2,259.6,1,201608,1,0.392,10
30007209,2,259.6,1,201608,2,29.369999999999997,60
30007225,1,210.8,2,201611,2,31.078,120
30007260,1,231.0,4,201608,2,19.478,45
30007260,2,231.0,4,201608,2,23.11,50
30007345,1,244.7,5,201605,2,23.19,59
30007386,1,263.5,4,201608,2,39.712,77
30007389,1,215.2,6,201610,1,0.012,2
30007389,1,215.2,6,201610,2,9.195,40
30007389,2,215.2,6,201610,2,32.702,77
30007393,1,272.4,2,201605,2,14.984,90
30007452,1,263.7,2,201612,2,3.953,20
30007452,2,263.7,2,201612,2,9.078,54
30007452,3,263.7,2,201612,2,12.28,85
30007452,4,263.7,2,201612,2,5.7620000000000005,26
30007456,1,274.3,6,201610,2,16.241,51
30007456,2,274.3,6,201610,2,7.148,20
30007463,1,267.7,7,201608,2,42.910000000000004,93
30007463,1,267.7,7,201608,7,30.405,46
30007463,1,267.7,7,201608,8,358.498,70
