HOUSEID,PERSONID,DRIVER,EDUC,R_AGE,R_RACE,R_SEX_IMP,WORKER
30002049,2,1,3,68,1,1,2
30002066,1,1,5,64,3,2,1
30002066,2,1,5,61,1,1,2
30002093,1,1,5,25,3,2,1
30002095,1,2,5,67,1,1,2
30002253,1,1,3,58,1,1,1
30002268,1,1,4,65,1,1,2
30002274,1,1,4,73,1,2,2
30002286,1,1,3,75,1,2,2
30002324,1,1,4,71,1,1,2
30002329,1,1,4,72,1,2,2
30002371,1,1,5,28,1,2,1
30002395,1,1,3,49,1,2,1
30002395,2,1,3,55,1,1,1
30002408,1,1,3,70,1,1,1
30002408,2,1,2,59,1,2,1
30002436,1,1,2,56,1,2,2
30002462,1,1,5,61,1,2,1
30002462,2,1,5,60,1,1,1
30002480,1,1,5,64,1,2,2
30002480,2,1,5,58,1,1,1
30002480,3,1,4,22,6,2,2
30002484,1,1,2,67,5,2,2
30002497,1,1,2,67,1,1,2
30002497,2,1,2,63,1,2,2
30002507,1,1,5,39,6,2,1
30002507,2,1,5,48,3,1,1
30002507,3,2,4,79,6,1,2
30002507,4,2,4,78,6,2,1
30002567,1,1,4,75,1,1,2
30002590,1,1,5,56,1,1,1
30002590,2,1,3,50,1,2,2
30002618,1,1,5,59,1,1,2
30002639,1,1,4,55,1,1,1
30002639,2,1,3,48,1,2,1
30002639,3,1,3,26,1,2,2
30002645,1,1,2,65,1,2,1
30002721,1,1,3,29,1,2,1
30002756,1,1,4,64,1,2,2
30002756,2,1,3,61,1,1,2
30002762,1,1,5,48,1,2,1
30002762,2,1,3,49,1,1,1
30002762,3,1,3,21,1,2,1
30002834,1,1,5,79,1,2,2
30002860,1,2,2,63,2,2,2
30002933,1,1,4,49,3,2,1
30002934,1,1,5,58,1,2,1
30002991,1,1,2,68,1,2,2
30003003,1,1,3,33,1,1,1
30003003,2,1,3,34,1,2,2
30003034,1,1,5,64,1,2,1
30003034,2,1,5,29,1,2,1
30003034,3,1,4,25,1,1,1
30003039,1,1,3,72,1,1,1
30003039,2,1,3,73,1,2,1
30003044,1,1,3,71,1,1,1
30003044,2,1,3,69,1,2,1
30003049,1,2,2,86,1,2,2
30003057,1,1,5,63,1,2,1
30003057,2,1,5,60,1,1,1
30003127,1,1,5,76,1,2,2
30003153,1,1,5,56,3,2,1
30003153,2,1,4,24,3,2,1
30003153,3,2,1,16,6,2,2
30003188,1,2,5,39,2,1,2
30003209,1,1,4,28,3,1,1
30003209,2,1,5,29,3,1,1
30003215,1,1,4,29,6,2,1
30003247,1,1,4,24,3,2,1
30003247,2,2,4,24,6,1,2
30003267,1,1,3,57,1,2,1
30003267,2,1,2,59,1,1,2
30003274,1,1,4,80,1,1,1
30003297,1,1,4,67,6,1,2
30003372,1,1,3,65,1,2,1
30003372,2,1,4,66,1,1,2
30003385,1,1,4,60,1,1,1
30003385,2,1,2,62,1,2,2
30003385,3,1,2,22,1,1,2
30003410,1,1,5,63,1,2,1
30003425,1,1,5,71,1,2,2
30003425,2,1,5,82,1,2,2
30003489,1,1,3,47,1,1,1
30003499,1,1,2,80,1,1,1
30003499,2,2,3,51,3,2,1
30003531,1,2,1,48,4,2,2
30003531,2,1,1,63,1,1,2
30003557,1,1,3,52,1,1,1
30003574,1,1,3,55,1,2,1
30003574,2,1,3,52,1,1,1
30003577,1,1,4,60,1,2,2
30003577,2,1,2,67,97,1,2
30003594,1,1,3,58,1,2,1
30003594,2,1,2,59,1,1,1
30003630,1,1,4,30,1,1,1
30003630,2,1,4,29,3,2,1
30003650,1,1,5,57,6,1,1
30003653,1,1,4,61,1,2,1
30003653,2,1,4,64,1,1,2
30003663,1,1,3,67,1,1,1
30003663,2,1,4,56,1,2,1
30003671,1,1,4,65,1,2,2
30003671,2,1,5,65,1,1,2
30003672,1,1,2,69,1,2,2
30003672,2,1,4,70,1,1,2
30003676,1,1,2,67,2,2,2
30003703,1,1,5,71,1,2,2
30003703,2,1,4,74,1,1,2
30003745,1,1,3,92,1,2,2
30003777,1,1,4,62,1,2,1
30003777,2,1,5,65,1,1,1
30003810,1,1,5,30,1,1,1
30003837,1,2,3,52,1,1,2
30003854,1,1,5,72,1,2,2
30003864,1,1,2,71,1,2,2
30003864,2,1,4,50,1,1,2
30003864,3,1,3,21,1,1,2
30003879,1,1,4,50,1,2,1
30003894,1,1,3,92,1,2,2
30003904,1,1,3,70,1,2,2
30003958,1,1,5,52,1,2,2
30003958,2,1,4,52,1,1,2
30003985,1,1,5,42,1,2,1
30003985,2,1,4,41,1,1,1
30004024,1,1,5,39,3,2,1
30004024,2,1,5,39,1,1,1
30004034,1,1,3,59,1,2,1
30004034,2,1,2,59,1,1,1
30004045,1,2,2,53,97,1,2
30004085,1,1,4,47,3,1,1
30004085,2,1,4,50,3,2,1
30004090,1,1,3,67,1,1,2
30004090,2,1,3,66,1,2,2
30004110,1,1,4,60,1,2,1
30004110,2,1,3,62,1,1,2
30004153,1,2,3,75,6,1,2
30004153,2,1,3,62,1,2,2
30004154,1,1,3,59,1,1,1
30004154,2,1,2,62,1,2,2
30004158,1,1,5,59,1,1,1
30004158,2,1,4,54,1,2,1
30004196,1,1,5,42,1,2,2
30004199,1,1,3,31,2,1,1
30004211,1,1,3,66,1,1,1
30004211,2,1,4,67,1,2,1
30004215,1,1,4,36,1,1,1
30004215,2,1,5,35,1,2,1
30004225,1,1,4,50,1,1,1
30004230,1,1,4,78,1,2,2
30004263,1,1,3,67,2,2,2
30004263,2,1,5,34,2,2,1
30004277,1,1,5,31,3,2,1
30004277,2,1,5,36,3,1,1
30004279,1,1,5,43,1,1,1
30004279,2,1,5,46,1,1,1
30004315,1,1,3,69,1,2,1
30004319,1,1,3,35,1,2,2
30004319,2,1,4,32,2,1,1
30004320,1,1,5,68,1,2,2
30004328,1,1,5,78,1,2,2
30004328,2,2,5,80,1,1,2
30004384,1,1,4,72,1,2,2
30004446,1,1,2,81,1,1,2
30004446,2,1,1,76,1,2,2
30004461,1,1,3,67,1,2,2
30004471,1,1,5,74,1,2,1
30004471,2,1,3,77,1,1,1
30004482,1,1,2,61,2,1,2
30004482,2,2,2,50,2,2,2
30004492,1,1,3,64,2,2,1
30004496,1,1,4,63,1,2,2
30004496,2,1,4,64,1,1,1
30004497,1,1,2,73,1,2,1
30004508,1,1,3,86,1,2,1
30004554,1,1,3,75,1,1,2
30004585,1,1,2,44,2,1,1
30004597,1,1,5,35,1,1,1
30004597,2,1,4,34,3,2,1
30004610,1,1,4,72,1,2,2
30004624,1,1,4,63,1,1,2
30004624,2,1,2,62,6,2,2
30004624,3,1,3,32,6,1,1
30004637,1,1,4,57,2,1,1
30004637,2,1,2,19,2,1,1
30004637,3,2,2,18,2,2,2
30004637,4,2,1,17,2,1,1
30004643,1,1,4,76,1,1,2
30004643,2,1,3,71,1,2,2
30004649,1,1,4,47,3,1,1
30004649,2,1,4,46,3,2,1
30004649,3,2,1,16,3,2,2
30004660,1,1,4,35,1,2,1
30004714,1,1,2,87,1,2,2
30004749,1,1,4,57,1,2,1
30004826,1,1,4,35,1,2,1
30004859,1,1,5,35,6,1,1
30004859,2,1,5,35,97,2,2
30004939,1,1,2,64,1,2,1
30004939,2,1,3,71,1,1,2
30005019,1,1,2,26,1,2,2
30005074,1,1,4,70,1,2,2
30005082,1,1,5,60,1,2,1
30005093,1,1,3,67,1,1,1
30005093,2,1,2,65,1,2,2
30005115,1,1,5,65,1,1,1
30005115,2,1,5,60,1,2,2
30005115,3,1,4,23,1,1,2
30005115,4,1,3,21,1,1,1
30005115,5,1,3,19,1,1,2
30005120,1,1,3,58,1,1,1
30005120,2,1,3,53,1,2,1
30005120,3,2,1,16,1,1,2
30005150,1,1,3,72,1,1,2
30005238,1,1,4,29,1,1,1
30005238,2,1,4,30,1,2,1
30005287,1,1,3,72,1,1,2
30005287,2,1,3,69,1,2,2
30005287,3,2,2,19,1,2,1
30005315,1,1,3,73,2,2,2
30005365,1,1,5,76,1,2,2
30005365,2,2,3,78,1,1,2
30005372,1,1,4,50,1,2,2
30005372,2,1,3,46,1,1,1
30005383,1,1,5,66,1,2,2
30005395,1,1,5,66,1,1,1
30005414,1,1,4,46,1,2,1
30005460,1,1,5,33,1,2,1
30005460,2,1,5,32,1,1,2
30005470,1,1,5,31,1,2,1
30005470,2,1,4,33,1,1,1
30005484,1,1,2,43,1,2,2
30005484,2,1,2,21,1,1,2
30005490,1,1,2,79,2,1,2
30005490,2,1,3,77,2,2,2
30005513,1,1,3,49,1,2,2
30005513,2,1,3,49,1,1,1
30005526,1,1,4,53,1,1,1
30005526,2,1,3,21,1,1,2
30005526,3,2,2,49,1,2,1
30005526,4,2,3,20,1,2,2
30005537,1,1,3,69,1,1,2
30005537,2,1,3,67,1,2,2
30005550,1,1,4,58,1,1,2
30005550,2,1,4,57,1,2,2
30005590,1,1,5,58,1,1,1
30005590,2,1,5,50,1,2,1
30005593,1,1,4,45,3,2,1
30005609,1,1,5,55,1,2,1
30005609,2,1,4,66,1,1,2
30005609,3,1,5,32,1,2,1
30005609,4,1,5,28,1,2,1
30005615,1,1,2,88,1,2,2
30005615,2,1,2,67,1,2,2
30005619,1,1,4,68,1,2,1
30005619,2,1,3,45,6,2,1
30005626,1,1,5,37,3,2,1
30005679,1,1,2,64,1,2,1
30005689,1,1,4,80,1,1,2
30005689,2,1,3,74,1,2,2
30005693,1,1,4,64,1,2,1
30005703,1,1,2,55,1,2,1
30005713,1,1,2,87,1,2,2
30005716,1,1,4,60,1,1,1
30005716,2,1,2,43,1,2,2
30005716,3,1,3,21,1,1,1
30005716,4,2,1,16,1,2,2
30005759,1,1,5,35,6,2,1
30005759,2,1,4,40,1,1,1
30005792,1,1,2,61,2,2,1
30005792,2,1,3,21,2,2,1
30005796,1,1,4,49,1,1,2
30005796,2,1,4,50,1,1,1
30005812,1,1,5,43,1,2,1
30005812,2,1,4,43,1,1,1
30005849,1,1,5,41,1,2,1
30005855,1,1,3,61,2,2,1
30005855,2,1,3,62,2,1,1
30005855,3,1,2,40,2,2,1
30005868,1,1,2,25,2,2,1
30005888,1,1,3,70,1,2,1
30005903,1,1,3,48,1,1,2
30005903,2,1,3,18,1,2,1
30005957,1,1,3,63,1,2,1
30006022,1,1,5,57,1,2,1
30006022,2,1,3,53,1,1,1
30006029,1,1,3,85,1,2,2
30006031,1,1,5,50,1,1,1
30006031,2,1,4,55,3,2,1
30006031,3,1,3,20,6,1,2
30006037,1,1,5,67,1,1,1
30006037,2,1,4,56,1,2,1
30006042,1,1,4,29,1,1,1
30006042,2,1,3,30,1,2,1
30006087,1,1,3,58,1,2,1
30006087,2,2,3,57,1,1,2
30006097,1,1,5,88,2,2,2
30006097,2,1,5,59,2,1,2
30006109,1,1,2,57,1,2,1
30006109,2,1,2,57,1,1,1
30006123,1,1,3,52,1,2,1
30006123,2,1,3,51,1,1,1
30006123,3,1,3,20,1,1,1
30006202,1,1,5,35,1,2,1
30006202,2,1,5,41,1,1,1
30006216,1,1,4,51,1,2,1
30006229,1,1,5,62,2,2,2
30006229,2,2,3,83,2,2,2
30006271,1,1,5,45,97,1,1
30006271,2,1,5,42,97,2,1
30006273,1,1,4,35,3,1,1
30006273,2,2,3,33,3,2,1
30006273,3,1,2,65,3,1,2
30006273,4,2,2,64,3,2,2
30006321,1,1,3,48,1,1,1
30006321,2,1,3,48,1,2,2
30006329,1,1,5,64,1,1,2
30006331,1,1,2,41,97,2,1
30006392,1,1,4,29,1,1,1
30006392,2,1,4,29,1,2,1
30006418,1,1,4,68,1,2,2
30006418,2,1,4,39,1,2,1
30006460,1,1,5,40,3,1,1
30006460,2,1,5,37,3,2,2
30006537,1,1,5,35,1,1,1
30006546,1,1,3,35,1,1,1
30006546,2,1,3,34,1,2,1
30006551,1,1,3,69,1,2,1
30006579,1,1,5,39,1,2,1
30006599,1,1,3,52,1,1,1
30006599,2,1,3,52,1,2,2
30006599,3,1,3,30,1,2,1
30006599,4,1,2,27,1,1,2
30006599,5,1,3,22,1,2,2
30006599,6,1,3,20,1,1,1
30006599,7,2,1,88,1,1,2
30006622,1,2,2,82,1,2,2
30006678,1,1,5,64,1,2,2
30006685,1,2,3,85,1,2,2
30006686,1,1,5,67,1,1,1
30006686,2,2,3,69,1,2,2
30006725,1,1,5,65,1,1,1
30006725,2,1,1,17,1,2,1
30006755,1,1,5,45,1,2,1
30006763,1,1,4,69,1,1,2
30006763,2,1,5,72,1,2,2
30006848,1,1,3,64,1,2,2
30006848,2,1,3,58,1,1,1
30006850,1,1,5,63,2,2,2
30006878,1,1,2,80,1,2,2
30006898,1,1,4,66,1,2,1
30006898,2,1,5,67,1,1,1
30006952,1,2,3,46,1,1,2
30006957,1,1,4,56,1,2,1
30006983,1,1,4,52,1,2,1
30006983,2,1,4,54,1,1,1
30006987,1,1,3,69,1,1,2
30006987,2,1,3,31,1,1,1
30006997,1,1,4,36,2,1,1
30007034,1,1,4,44,2,1,1
30007034,2,2,2,36,2,2,2
30007067,1,1,1,78,1,1,2
30007067,2,1,1,62,1,2,2
30007076,1,2,4,76,1,1,2
30007076,2,1,3,70,1,2,2
30007129,1,1,5,52,1,1,1
30007129,2,1,5,53,1,2,1
30007134,1,1,5,61,1,2,1
30007134,2,1,4,63,1,1,1
30007159,1,2,3,72,2,1,2
30007193,1,1,5,32,1,2,1
30007193,2,1,3,34,1,1,1
30007204,1,1,3,84,1,1,2
30007204,2,2,2,83,1,2,2
30007209,1,1,3,57,1,2,1
30007209,2,1,3,24,6,2,1
30007225,1,1,3,41,3,1,1
30007260,1,1,4,54,1,2,1
30007260,2,1,3,56,1,1,1
30007345,1,1,5,29,1,1,1
30007386,1,1,3,80,1,1,2
30007389,1,1,2,66,1,1,2
30007389,2,1,1,56,1,2,1
30007393,1,1,4,76,1,1,1
30007452,1,1,2,51,1,2,2
30007452,2,1,3,23,1,2,1
30007452,3,1,3,25,1,1,1
30007452,4,1,1,17,1,2,2
30007452,5,1,3,30,1,2,1
30007456,1,1,3,78,1,1,1
30007456,2,1,3,70,1,2,2
30007463,1,1,4,39,1,2,1
30007465,1,1,4,53,1,2,1
30007479,1,1,1,69,97,2,1
30007479,2,1,1,75,97,1,1
30007500,1,1,3,25,1,1,2
30007524,1,1,4,52,1,2,1
30007528,1,1,5,88,1,1,2
30007554,1,1,4,71,1,1,2
30007564,1,1,5,62,1,2,1
30007583,1,1,4,75,1,2,1
30007592,1,1,4,46,1,2,1
30007592,2,1,3,45,1,1,1
30007603,1,1,4,40,1,1,1
30007605,1,1,5,41,1,1,1
30007605,2,1,5,30,1,2,1
30007611,1,1,3,52,3,2,1
30007611,2,1,3,57,3,1,2
30007611,3,1,2,30,3,2,1
30007611,4,1,2,29,3,1,1
30007646,1,1,4,77,2,1,1
30007646,2,1,3,68,2,2,2
30007648,1,1,3,71,1,1,2
30007648,2,1,3,69,1,2,2
30007648,3,1,4,48,1,1,1
30007685,1,1,4,82,1,2,2
30007689,1,1,4,25,1,2,1
30007689,2,1,4,24,1,1,2
30007723,1,1,5,80,3,1,2
30007723,2,1,4,80,3,2,2
30007726,1,1,4,69,1,2,2
30007730,1,2,1,85,2,2,2
30007741,1,1,2,71,1,2,2
30007741,2,1,3,73,1,1,2
30007757,1,1,5,64,2,2,2
30007757,2,1,4,64,2,1,1
30007757,3,1,4,28,2,1,2
30007778,1,1,4,55,1,1,1
30007778,2,1,5,60,1,2,1
30007778,3,1,4,24,1,2,1
30007779,1,1,5,45,1,1,1
30007907,1,1,3,47,1,1,2
30007913,1,1,3,28,1,2,1
30007913,2,1,2,26,1,2,1
30007923,1,1,5,74,1,1,2
30007923,2,1,5,72,1,2,2
30007925,1,1,3,70,1,2,2
30007925,2,2,3,74,1,1,2
30007929,1,1,4,65,1,1,2
30007929,2,1,4,59,1,2,1
30007952,1,1,4,66,1,2,1
30007952,2,1,4,68,1,1,1
30007974,1,1,3,47,1,1,1
30007986,1,1,3,75,1,2,2
30008013,1,1,4,71,3,2,2
30008013,2,1,5,69,3,1,2
30008013,3,1,4,43,3,1,1
30008044,1,1,4,44,1,2,1
30008044,2,1,3,32,1,1,2
30008044,3,1,2,25,1,1,2
30008057,1,1,4,60,1,1,1
30008057,2,1,3,58,1,2,1
30008076,1,1,5,44,6,1,1
30008086,1,1,5,54,1,1,1
30008086,2,1,5,53,97,2,1
30008112,1,1,4,56,1,1,1
30008112,2,1,5,51,1,2,1
30008112,3,1,3,20,1,1,1
30008132,1,1,2,70,1,2,2
30008157,1,1,5,43,3,2,1
30008157,2,1,5,44,1,1,2
30008169,1,1,5,68,1,2,1
30008176,1,1,5,67,1,1,1
30008176,2,1,5,67,1,2,2
30008182,1,1,3,60,1,1,1
30008182,2,1,4,72,1,2,2
30008188,1,1,4,53,1,2,2
30008188,2,1,4,52,6,1,1
30008188,3,1,1,16,6,1,2
30008204,1,1,3,68,1,2,2
30008251,1,1,4,61,1,1,1
30008251,2,1,3,60,1,2,1
30008258,1,1,2,73,1,1,2
30008258,2,1,3,70,1,2,2
30008308,1,1,3,51,1,1,1
30008312,1,1,3,80,1,1,2
30008312,2,1,2,79,1,2,2
30008340,1,1,5,48,1,2,1
30008340,2,1,4,64,1,1,2
30008350,1,1,4,41,1,1,1
30008374,1,1,3,64,1,1,1
30008374,2,1,3,64,1,2,2
30008376,1,1,2,49,1,2,1
30008376,2,1,2,53,1,1,1
30008426,1,1,5,50,1,2,1
30008426,2,1,4,58,1,1,1
30008426,3,1,4,23,1,1,1
30008426,4,1,3,19,1,2,1
30008433,1,1,4,27,1,2,1
30008433,2,1,4,27,1,1,1
30008482,1,1,3,39,1,1,1
30008482,2,1,3,33,1,2,1
30008483,1,1,4,33,1,1,1
30008483,2,1,5,29,1,2,1
30008488,1,1,3,56,1,2,1
30008488,2,1,3,54,1,1,1
30008502,1,1,2,56,1,1,2
30008502,2,1,2,56,1,2,2
30008527,1,1,5,69,1,1,2
30008527,2,1,5,71,1,2,1
30008677,1,1,5,51,1,2,1
30008715,1,2,3,50,1,2,2
30008760,1,1,2,30,6,1,1
30008784,1,1,1,73,6,1,2
30008793,1,1,4,48,1,2,2
30008793,2,1,2,56,1,1,1
30008794,1,1,3,81,1,2,1
30008810,1,1,4,65,1,2,1
30008825,1,1,3,79,1,2,1
30008831,1,1,3,65,1,1,2
30008856,1,1,5,28,1,1,2
30008856,2,1,5,28,1,2,2
30008870,1,1,3,48,1,1,1
30008870,2,1,2,48,6,2,2
30008870,3,1,2,23,1,1,1
30008876,1,1,5,40,1,1,1
30008876,2,1,5,38,1,2,1
30009004,1,1,5,59,1,1,1
30009004,2,1,5,54,1,2,1
30009005,1,1,4,59,1,2,2
30009005,2,1,5,60,1,1,1
30009016,1,1,4,70,1,2,2
30009087,1,1,5,64,1,2,2
30009087,2,1,3,76,1,1,2
30009118,1,1,3,59,1,2,2
30009118,2,1,3,57,1,1,2
30009145,1,1,3,30,1,2,2
30009145,2,1,3,34,1,1,1
30009166,1,1,5,70,1,2,2
30009166,2,1,5,73,1,1,1
30009172,1,1,5,68,3,1,2
30009172,2,1,5,67,3,2,2
30009173,1,1,3,35,1,2,1
30009173,2,1,2,34,1,1,1
30009189,1,1,5,36,1,1,1
30009189,2,1,4,32,6,2,2
30009193,1,1,4,56,1,1,1
30009193,2,1,3,56,1,2,2
30009210,1,1,5,68,1,1,1
30009210,2,1,5,68,1,2,1
30009251,1,1,5,67,2,1,2
30009251,2,1,4,62,2,2,2
30009251,3,2,5,92,2,2,2
30009266,1,1,3,82,1,2,2
30009266,2,1,2,62,1,1,1
30009266,3,1,3,64,1,2,2
30009299,1,1,4,29,1,2,1
30009299,2,1,4,30,1,1,1
30009337,1,1,5,45,1,2,2
30009367,1,1,3,68,1,1,2
30009367,2,1,5,66,1,2,2
30009429,1,1,5,25,3,1,1
30009429,2,2,5,25,3,2,1
30009434,1,1,5,39,1,2,1
30009434,2,1,5,39,1,1,1
30009438,1,1,5,74,1,1,1
30009438,2,1,3,73,1,2,2
30009452,1,1,3,55,1,1,1
30009452,2,1,3,54,1,2,2
30009516,1,1,3,63,3,1,1
30009516,2,2,4,62,3,2,1
30009516,3,1,4,28,3,2,1
30009516,4,1,4,24,3,1,1
30009549,1,1,4,21,1,2,2
30009549,2,2,2,21,2,1,1
30009616,1,1,5,67,1,1,1
30009616,2,1,5,61,1,2,2
30009626,1,1,3,63,1,1,1
30009632,1,1,4,63,1,2,1
30009632,2,1,5,75,1,1,2
30009635,1,1,3,54,1,1,1
30009635,2,2,5,57,1,2,1
30009635,3,2,1,80,1,2,2
30009643,1,1,4,24,1,1,1
30009643,2,1,4,22,1,2,1
30009656,1,1,3,65,1,1,2
30009656,2,1,2,29,1,2,1
30009669,1,1,2,55,1,2,1
30009669,2,1,2,56,1,1,1
30009672,1,1,2,82,1,1,2
30009672,2,1,3,78,1,2,2
30009704,1,1,4,76,1,1,1
30009704,2,1,2,74,1,2,2
30009706,1,1,4,49,2,1,1
30009706,2,1,1,41,1,2,2
30009711,1,1,5,74,97,1,2
30009720,1,1,3,86,1,2,2
30009770,1,1,3,51,1,2,2
30009770,2,1,2,52,1,1,1
30009770,3,1,3,24,1,1,1
30009770,4,1,3,20,1,2,1
30009776,1,1,4,33,1,1,1
30009776,2,1,5,31,1,2,1
30009786,1,1,5,58,1,2,1
30009786,2,1,5,56,1,1,1
30009834,1,1,4,35,3,2,1
30009834,2,1,4,72,3,1,2
30009843,1,1,4,23,1,2,1
30009856,1,1,5,63,1,2,2
30009856,2,1,5,61,1,1,1
30009872,1,1,5,37,1,1,2
30009872,2,1,3,59,1,2,1
30009872,3,2,2,74,1,2,2
30009926,1,2,1,50,1,2,2
30009926,2,2,2,23,1,2,1
30009955,1,1,4,65,1,1,2
30009955,2,1,4,59,1,2,2
30010044,1,1,5,59,1,2,1
30010044,2,1,4,62,1,1,1
30010044,3,1,2,20,1,1,1
30010044,4,1,2,20,1,1,1
30010059,1,1,5,66,1,2,2
30010059,2,1,4,65,1,1,2
