age,home_ownership,income,vote20turnoutjb,particip_count,meeting,moneyorg,protest,online,persuade,button,loans2,diversity7,experts,compro1,compro2,pcorrect,expavoid,callout_social,callout_person,fttrump1,ftbiden1,ftobama1,ftpence1,ftyang1,ftpelosi1,ftrubio1,ftocasioc1,fthaley1,ftthomas1,ftfauci1
43,1,4,1,0,0,0,0,0,0,0,7,7,1,2,5,8,1,2,2,100,0,0,100,0,0,50,0,0,0,50
33,2,13,1,3,1,0,1,0,0,1,77,1,2,1,2,1,2,2,2,30,100,100,50,50,50,50,100,50,50,40
34,2,20,1,4,0,1,1,0,0,1,77,3,2,1,2,2,1,1,2,40,50,60,40,30,50,40,60,40,30,50
26,1,5,1,3,0,0,0,1,1,0,1,1,4,1,3,8,2,1,2,0,10,40,0,55,40,55,70,22,15,5
42,1,3,1,2,0,0,0,1,0,1,77,4,3,1,3,3,2,2,2,90,15,10,60,50,0,5,0,25,10,90
70,1,2,1,0,0,0,0,0,0,0,77,2,5,1,3,1,1,2,2,0,50,75,0,30,50,30,50,0,0,90
35,2,21,1,4,1,0,0,1,0,1,6,6,4,1,4,8,2,2,2,0,80,99,0,23,78,6,50,0,50,49
37,2,4,1,3,1,0,0,1,0,0,2,2,1,1,4,8,2,1,2,99,60,50,50,40,30,10,80,10,50,60
65,2,20,1,0,0,0,0,0,0,0,77,2,5,1,3,3,1,2,1,0,70,80,60,40,30,40,10,75,50,100
21,2,3,0,2,0,0,1,0,1,0,77,2,2,1,3,2,2,2,2,3,56,97,14,15,18,10,18,18,18,15
64,2,12,0,0,0,0,0,0,0,0,77,3,4,1,2,4,1,2,2,70,50,45,60,35,5,50,20,80,35,70
56,1,3,1,3,1,0,0,1,1,0,1,2,1,2,4,8,2,2,2,99,0,0,0,0,0,0,0,0,0,0
44,2,11,1,1,0,0,0,0,1,0,4,3,3,2,3,8,2,2,2,0,90,100,10,50,80,50,30,30,20,20
20,1,2,1,2,0,0,0,1,0,0,4,4,1,1,3,8,2,2,2,100,0,0,0,0,0,0,0,0,0,0
68,1,5,0,0,0,0,0,0,0,0,4,4,2,1,2,8,2,2,2,70,15,0,85,30,0,50,0,85,75,70
49,2,21,1,3,0,1,0,0,1,1,77,1,1,1,2,2,2,1,2,79,77,67,78,87,66,57,80,90,48,70
58,2,6,1,0,0,0,0,0,0,0,77,6,4,1,3,2,1,2,2,100,0,0,100,0,0,0,0,0,50,75
64,2,12,1,0,0,0,0,0,0,0,77,4,3,2,3,3,2,2,2,85,0,0,85,50,0,60,0,85,50,50
40,1,9,1,0,0,0,0,0,0,0,2,1,3,1,2,8,2,2,1,5,75,90,30,50,80,50,50,50,50,50
70,1,5,1,6,1,1,0,1,0,1,77,1,5,1,3,1,2,1,2,0,100,100,0,97,100,90,100,0,40,100
52,1,2,1,0,0,0,0,0,0,0,77,4,3,1,3,3,2,2,2,60,75,100,50,50,100,0,0,0,0,100
32,2,17,1,3,0,0,0,1,1,0,1,1,3,1,3,8,2,2,1,0,80,100,30,70,100,10,70,0,0,100
23,1,5,0,0,0,0,0,0,0,0,77,4,4,2,3,2,2,2,1,0,0,85,0,0,0,80,40,0,0,0
57,2,14,1,2,0,0,0,1,1,0,2,2,5,1,3,8,1,2,2,0,85,100,0,0,0,25,0,0,0,87
22,1,1,0,1,0,0,0,0,0,0,2,4,2,1,3,8,1,2,2,40,50,85,50,50,0,50,0,0,0,45
59,2,23,1,1,0,0,0,0,0,0,7,4,4,2,4,8,2,2,2,85,50,50,50,5,0,50,0,50,5,65
72,2,8,1,0,0,0,0,0,0,0,77,1,3,1,1,2,2,2,2,0,95,100,0,5,98,50,75,0,0,100
75,1,11,1,0,0,0,0,0,0,0,77,5,3,1,3,4,2,2,2,99,0,0,98,0,0,75,0,80,80,40
56,3,11,1,0,0,0,0,0,0,0,1,3,4,2,3,8,1,1,1,1,80,90,60,50,49,49,40,50,50,51
72,2,24,1,4,0,1,1,0,0,0,77,1,3,1,3,2,1,2,1,0,85,90,35,60,80,45,45,40,20,100
49,2,22,1,1,0,0,0,0,0,0,5,1,3,1,3,8,2,2,2,0,80,100,0,50,80,0,75,75,50,90
39,2,20,1,4,1,1,1,0,1,0,77,3,3,1,4,3,2,1,2,50,50,50,50,50,50,50,50,50,50,50
59,2,7,1,0,0,0,0,0,0,0,7,4,5,2,4,8,1,2,2,100,0,0,90,0,0,0,0,0,0,85
55,2,17,1,0,0,0,0,0,0,0,7,4,3,1,3,8,2,2,1,75,0,20,40,0,0,0,0,60,20,40
65,1,3,1,0,0,0,0,0,0,0,77,4,2,1,2,2,2,2,2,70,85,100,60,60,30,0,0,0,0,100
69,1,15,1,1,0,0,0,1,0,0,77,4,2,2,4,4,2,1,1,30,40,50,50,0,0,70,0,0,0,50
20,3,1,0,1,0,1,0,0,0,0,3,3,4,2,3,8,1,1,1,0,0,100,0,0,0,0,0,0,0,0
24,2,22,1,3,1,1,1,0,0,0,1,1,1,1,5,8,2,1,1,50,50,50,50,50,50,50,50,50,50,50
26,2,21,1,3,0,0,1,0,1,0,2,2,2,1,2,8,1,1,1,60,40,50,20,30,40,20,40,50,30,50
38,3,23,1,5,1,1,1,1,0,0,77,2,1,1,4,1,1,1,1,90,25,20,30,25,20,25,30,40,35,30
38,1,19,1,2,0,0,0,1,0,1,77,4,2,1,3,3,2,2,1,60,54,75,85,54,45,45,54,55,55,54
57,1,23,1,0,0,0,0,0,0,0,77,3,3,2,3,4,2,2,2,60,40,40,65,50,10,35,30,20,35,50
38,2,26,1,3,1,1,0,0,0,1,77,1,1,1,5,4,1,1,1,90,20,50,50,20,20,20,24,26,28,27
42,2,10,1,0,0,0,0,0,0,0,1,5,1,1,3,8,1,2,2,95,75,60,96,71,86,76,81,83,92,84
40,2,19,1,0,0,0,0,0,0,0,2,2,4,1,3,8,1,1,1,70,50,90,40,30,80,69,65,65,50,55
22,2,24,1,8,1,1,1,1,1,1,1,4,3,2,4,8,1,2,2,0,5,10,0,90,30,0,100,0,0,90
30,1,20,1,2,0,1,0,0,0,0,6,3,3,1,3,8,1,1,2,37,37,87,37,84,56,67,56,83,85,84
65,2,26,1,3,0,0,0,0,1,1,77,6,4,1,3,4,1,2,2,90,10,25,75,65,0,25,10,75,85,85
32,1,20,1,0,0,0,0,0,0,0,77,4,3,1,3,3,1,2,1,0,75,75,50,50,0,50,50,50,50,50
61,2,5,1,1,0,0,0,1,0,0,77,2,2,2,3,4,1,2,2,95,0,10,95,0,0,85,0,85,90,50
56,1,14,1,0,0,0,0,0,0,0,77,3,3,1,2,2,2,2,2,55,45,48,50,48,43,42,42,45,50,55
33,2,20,1,2,0,1,0,0,0,0,77,4,5,1,3,1,2,1,1,60,40,100,0,10,10,40,20,10,40,20
66,2,17,1,0,0,0,0,0,0,0,4,1,4,1,3,8,2,2,2,0,95,95,10,85,87,55,75,85,70,100
59,2,21,1,3,1,1,0,0,0,0,77,2,2,1,3,1,2,2,2,45,90,100,55,70,85,65,75,75,65,58
29,2,20,1,3,1,1,0,0,0,0,77,1,2,2,4,2,1,1,2,90,80,90,90,90,80,80,80,80,80,80
42,1,16,1,6,0,1,0,1,1,1,77,1,4,2,4,2,2,1,1,0,70,85,5,75,75,0,100,30,0,75
40,2,1,1,2,0,0,0,1,0,0,1,4,4,2,4,8,2,1,1,50,75,90,65,75,80,70,50,70,40,100
40,1,9,0,3,0,1,0,1,0,0,77,4,1,2,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0
67,2,23,1,0,0,0,0,0,0,0,5,2,5,1,2,8,1,2,2,0,89,98,2,78,87,5,60,4,4,96
18,2,3,1,2,0,0,0,0,1,0,2,1,5,1,3,8,1,2,1,0,50,50,20,20,10,30,20,20,20,20
66,1,21,1,2,0,0,1,1,0,0,1,2,4,1,2,8,1,2,2,0,80,90,10,70,90,2,50,60,10,90
44,1,21,1,0,0,0,0,0,0,0,77,3,3,2,3,4,2,2,1,70,40,70,20,0,0,10,20,10,5,10
54,1,3,1,2,0,0,0,1,0,0,77,1,3,1,2,1,1,1,1,0,100,95,0,85,100,0,100,0,0,90
32,2,13,0,0,0,0,0,0,0,0,7,2,4,2,3,8,2,2,1,15,20,51,20,40,30,50,49,50,50,90
53,1,1,1,2,0,0,0,0,1,0,77,4,3,2,2,1,2,2,2,90,50,80,50,60,60,60,65,0,29,0
63,1,7,1,0,0,0,0,0,0,0,3,2,5,1,2,8,2,2,2,1,85,90,1,75,75,1,69,10,5,90
73,1,13,1,1,0,0,0,0,0,0,1,1,5,1,2,8,1,2,2,0,95,100,0,50,100,0,75,0,0,90
42,2,23,1,1,1,0,0,0,0,0,77,2,3,2,3,2,2,2,2,60,40,30,40,30,30,40,40,30,30,40
45,2,22,1,2,0,0,0,1,0,0,77,3,2,1,4,2,2,2,2,40,70,70,70,60,50,50,40,60,50,50
72,1,8,1,0,0,0,0,0,0,0,77,1,4,1,3,1,2,2,1,10,80,90,20,75,80,75,65,50,80,85
67,2,4,1,3,0,0,0,1,1,0,77,2,4,1,3,2,1,2,2,80,0,0,80,0,0,10,0,0,20,100
73,2,8,1,2,0,0,0,1,0,1,77,4,2,1,3,4,2,2,2,100,0,0,100,0,0,75,0,100,100,85
29,1,1,1,1,0,1,0,0,0,0,6,3,2,2,2,8,2,1,1,85,56,0,6,26,55,43,88,2,42,62
20,1,7,1,0,0,0,0,0,0,0,4,2,3,1,3,8,2,2,2,60,60,70,50,50,50,50,50,50,50,70
41,2,21,1,0,0,0,0,0,0,0,4,4,3,2,3,8,2,2,2,90,20,20,90,50,5,90,20,70,90,50
37,1,3,1,0,0,0,0,0,0,0,3,4,5,2,4,8,2,2,2,100,30,100,3,4,3,2,2,1,1,2
76,2,10,1,3,1,1,0,1,0,0,77,3,4,1,2,2,1,2,1,75,35,50,85,10,0,25,0,10,15,90
55,2,23,1,7,1,1,1,0,1,1,77,1,5,1,2,1,1,2,1,0,75,90,0,70,85,5,60,0,0,100
59,2,1,1,0,0,0,0,0,0,0,6,4,4,1,1,8,2,2,2,0,90,75,35,60,65,45,55,30,25,95
74,2,21,1,4,1,1,0,0,0,0,77,2,3,2,3,3,1,1,1,85,20,20,85,20,0,85,0,100,85,85
40,2,16,1,3,0,1,0,0,1,1,77,1,1,2,5,4,2,2,2,100,0,0,0,0,0,0,0,0,0,0
43,3,22,0,0,0,0,0,0,0,0,2,7,5,1,1,8,2,2,1,1,1,1,1,1,1,1,1,1,1,1
68,2,6,1,2,0,0,0,1,0,0,77,1,4,1,2,3,1,2,1,0,80,90,0,0,85,50,80,50,0,95
29,1,17,1,0,0,0,0,0,0,0,4,4,3,1,3,8,2,2,1,70,68,75,90,65,68,68,60,60,60,65
70,2,18,1,4,1,0,1,0,1,0,4,1,5,1,2,8,1,2,1,0,85,90,10,60,95,30,60,40,30,95
63,2,3,1,2,0,0,0,0,1,0,77,3,2,1,3,2,1,2,1,0,80,25,0,75,90,60,70,60,75,100
72,2,11,1,7,1,1,1,1,0,1,2,2,4,1,3,8,1,2,1,0,70,90,0,60,80,0,75,0,0,90
41,2,21,1,4,0,1,0,0,1,0,5,6,2,1,4,8,2,2,2,10,80,80,30,60,60,70,30,40,50,80
64,1,7,1,0,0,0,0,0,0,0,1,1,3,2,1,8,2,2,2,0,85,85,0,50,50,0,15,0,0,20
72,2,21,1,1,0,0,0,0,0,0,77,5,4,1,2,4,1,2,2,2,50,70,2,15,45,50,30,30,40,95
75,3,13,1,0,0,0,0,0,0,0,2,1,3,1,2,8,2,2,1,2,65,85,5,25,45,20,35,35,2,85
67,1,3,1,0,0,0,0,0,0,0,77,2,3,1,3,4,1,2,1,60,60,80,30,70,40,0,0,0,0,0
48,3,2,1,0,0,0,0,0,0,0,2,3,3,2,3,8,1,1,1,0,69,100,1,2,9,6,85,25,25,100
39,2,23,1,0,0,0,0,0,0,0,3,3,2,1,3,8,1,1,1,60,45,50,60,50,50,60,50,50,50,70
49,1,14,1,1,0,0,0,0,0,0,77,4,3,2,2,2,2,2,2,15,90,95,50,85,95,70,60,70,60,80
67,1,21,1,4,0,1,0,1,0,1,77,5,3,2,3,2,1,2,1,100,10,10,100,10,0,70,0,60,60,85
37,1,4,1,0,0,0,0,0,0,0,77,2,2,2,4,2,2,2,2,0,70,70,20,30,40,10,10,10,20,20
38,2,18,1,0,0,0,0,0,0,0,77,3,4,1,3,2,2,2,1,0,80,90,70,70,60,50,50,50,50,90
67,2,7,1,2,1,0,0,0,0,0,77,4,3,1,3,4,1,2,2,85,15,15,85,40,0,75,0,85,90,50
72,2,26,1,1,0,0,0,0,0,0,77,1,3,1,2,1,1,2,1,0,85,90,0,70,70,30,35,35,10,95
23,1,6,1,0,0,0,0,0,0,0,1,1,2,1,3,8,2,2,1,90,70,40,90,0,0,0,0,0,0,0
46,2,16,1,0,0,0,0,0,0,0,4,4,3,2,3,8,2,2,2,0,50,75,15,25,30,50,50,50,50,30
37,2,21,0,1,0,0,0,0,0,0,77,4,2,2,4,4,1,2,1,40,50,70,50,50,20,50,50,50,50,60
65,2,22,1,0,0,0,0,0,0,0,77,1,2,1,2,1,1,2,2,96,0,25,95,25,0,14,0,0,25,15
69,2,10,0,0,0,0,0,0,0,0,7,4,3,1,3,8,2,2,2,50,40,40,40,40,40,40,40,40,40,60
60,2,25,1,0,0,0,0,0,0,0,7,3,4,1,2,8,1,2,2,85,0,0,90,10,0,0,0,0,30,40
36,1,15,1,0,0,0,0,0,0,0,77,4,3,2,3,4,2,2,1,100,50,3,75,25,1,25,25,25,50,75
70,2,11,1,1,0,0,0,0,1,0,77,5,3,1,2,4,1,1,2,100,0,5,95,0,0,70,0,95,50,60
53,1,5,1,2,0,0,0,0,1,0,3,2,3,1,2,8,1,2,1,1,85,99,2,50,98,50,78,50,47,65
73,2,5,1,0,0,0,0,0,0,0,77,3,2,1,3,2,2,2,2,70,40,30,85,50,10,40,10,90,20,90
29,2,19,1,0,0,0,0,0,0,0,77,2,3,1,2,1,2,2,2,90,70,70,50,50,50,50,50,50,50,50
31,3,8,1,0,0,0,0,0,0,0,77,1,1,1,1,1,2,2,2,1,100,100,1,0,100,0,0,0,0,100
66,1,2,0,0,0,0,0,0,0,0,77,1,3,2,4,4,2,2,2,60,3,3,60,7,0,3,0,45,40,50
58,1,2,0,0,0,0,0,0,0,0,77,4,3,1,2,3,1,2,2,44,44,55,66,2,1,2,2,3,4,3
49,2,16,1,7,1,1,1,1,1,0,77,1,1,1,4,1,1,1,1,50,0,50,100,0,0,0,0,0,0,0
52,2,8,0,1,0,0,0,0,1,0,1,1,3,1,3,8,2,2,1,2,10,80,0,70,70,5,70,35,40,100
26,1,6,0,0,0,0,0,0,0,0,77,4,3,2,4,4,1,1,1,50,50,50,50,50,0,50,50,50,50,100
61,1,4,1,2,0,0,0,1,0,0,6,2,3,1,3,8,1,1,2,99,0,0,99,1,0,75,0,5,50,45
50,2,21,1,2,1,1,0,0,0,0,1,2,2,1,2,8,1,1,1,70,77,55,56,55,67,45,78,67,35,66
66,1,7,1,1,0,0,0,0,0,0,77,3,5,1,3,2,1,2,1,10,70,90,2,60,80,30,50,30,10,90
60,2,8,1,0,0,0,0,0,0,0,3,1,1,1,2,8,2,2,2,15,100,100,0,80,100,25,85,25,0,85
47,1,4,1,0,0,0,0,0,0,0,4,2,3,1,3,8,2,2,1,50,74,82,37,63,75,35,50,65,50,69
30,1,16,1,0,0,0,0,0,0,0,77,2,3,1,3,2,2,1,2,40,50,60,70,50,60,50,50,50,50,50
57,2,4,1,2,0,0,0,0,0,1,77,1,3,2,3,3,2,2,2,15,90,99,45,50,60,50,90,50,75,85
37,1,1,0,0,0,0,0,0,0,0,77,4,3,1,3,1,2,2,2,1,0,1,0,5,3,0,3,0,0,2
56,2,22,1,0,0,0,0,0,0,0,4,3,3,2,4,8,2,2,2,70,0,25,0,0,0,0,0,0,0,0
48,2,8,1,1,0,0,0,0,0,0,1,1,3,1,3,8,2,2,1,60,50,50,15,60,85,15,15,5,0,0
60,2,20,1,1,0,0,0,1,0,0,77,2,4,1,2,4,2,2,1,0,85,90,5,30,90,55,45,55,70,90
57,2,14,1,0,0,0,0,0,0,0,77,4,2,2,5,1,2,2,1,80,0,0,80,0,0,0,0,0,0,0
46,1,6,1,0,0,0,0,0,0,0,77,3,3,1,2,3,1,2,2,15,50,85,25,50,50,50,50,40,50,100
65,1,99,1,1,0,0,0,1,0,0,4,4,3,1,3,8,2,1,1,100,2,0,99,2,0,70,0,85,95,50
68,2,9,1,1,0,0,0,0,0,1,77,2,3,1,3,1,2,1,1,100,0,0,100,0,0,0,0,0,0,0
65,1,7,1,1,0,0,0,1,0,0,77,1,4,1,4,1,2,2,1,0,90,100,0,80,100,50,100,50,0,100
59,2,7,1,5,0,1,0,1,1,0,77,2,4,1,3,2,1,1,1,0,75,85,10,60,90,20,80,50,10,90
90,2,3,0,0,0,0,0,0,0,0,77,4,3,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
68,2,9,1,0,0,0,0,0,0,0,77,5,3,1,2,1,2,2,2,50,60,50,70,50,10,50,50,50,70,70
71,2,23,1,0,0,0,0,0,0,0,7,7,3,2,4,8,2,1,1,95,0,0,100,0,0,90,0,95,90,85
38,2,10,1,0,0,0,0,0,0,0,77,6,3,1,2,4,2,2,2,77,15,20,75,10,0,10,0,10,10,20
73,2,10,1,4,1,1,1,0,0,0,7,1,3,2,5,8,2,2,1,100,50,40,100,50,0,95,0,50,100,100
45,3,5,1,0,0,0,0,0,0,0,77,4,4,2,3,1,2,2,2,0,70,85,0,75,80,0,84,0,0,85
37,1,21,1,1,0,0,0,1,0,0,77,6,3,2,3,3,2,2,2,65,5,35,0,0,0,0,0,0,0,0
33,2,13,1,0,0,0,0,0,0,0,77,1,5,2,4,1,2,2,2,0,100,100,0,100,100,0,100,0,0,95
33,1,5,1,1,0,0,0,1,0,0,1,2,2,1,2,8,2,2,2,70,30,60,60,85,40,40,50,50,50,50
33,1,5,1,2,0,0,0,1,1,0,4,4,3,1,2,8,2,2,1,15,80,85,70,70,80,70,70,68,70,70
18,2,16,0,0,0,0,0,0,0,0,77,4,3,1,3,2,1,1,2,0,60,100,0,0,0,0,0,0,0,0
63,2,5,1,0,0,0,0,0,0,0,5,4,3,2,3,8,2,2,2,90,0,0,100,0,0,90,0,100,100,60
62,2,15,1,1,0,0,0,0,0,0,77,4,3,1,2,3,1,2,1,60,30,50,30,0,10,20,0,0,10,45
55,2,7,1,0,0,0,0,0,0,0,6,4,3,1,2,8,2,2,1,85,10,0,85,5,0,35,0,0,65,95
20,2,1,1,0,0,0,0,0,0,0,77,3,4,2,3,2,2,2,1,50,60,80,60,60,80,78,87,76,88,78
43,1,5,1,1,0,0,0,1,0,0,77,4,3,1,2,2,1,2,2,0,88,90,20,18,80,10,0,1,17,95
42,1,1,1,1,0,0,1,0,0,0,5,2,4,2,3,8,2,2,2,20,50,100,10,10,10,10,10,10,10,10
55,1,7,1,1,0,0,0,1,0,0,4,4,3,1,1,8,2,2,2,65,80,90,40,65,70,65,70,65,70,85
62,2,14,1,0,0,0,0,0,0,0,5,2,4,1,2,8,2,2,1,0,100,100,2,98,99,50,50,50,45,50
43,1,1,1,0,0,0,0,0,0,0,77,4,5,2,2,1,2,2,2,0,5,10,0,5,6,7,5,8,5,6
61,2,19,1,0,0,0,0,0,0,0,5,4,3,1,3,8,2,2,2,80,50,50,90,0,0,0,0,0,0,80
58,2,21,0,2,0,0,0,1,0,0,7,2,1,1,1,8,2,1,1,15,20,25,5,0,0,15,5,5,50,80
61,2,5,1,0,0,0,0,0,0,0,77,1,1,1,1,1,2,2,2,70,80,70,90,80,80,80,70,80,80,90
63,2,24,0,0,0,0,0,0,0,0,7,3,3,1,2,8,1,2,1,50,55,69,50,50,44,50,33,50,50,89
64,1,7,1,1,0,0,0,0,0,0,2,1,5,1,3,8,1,2,2,2,80,90,10,35,65,15,40,20,20,90
45,1,1,1,4,1,0,0,1,0,1,1,2,3,1,1,8,2,1,1,45,25,50,57,48,68,70,100,35,56,34
37,2,23,1,1,1,0,0,0,0,0,77,1,2,1,5,1,1,2,1,85,10,100,90,40,30,15,15,10,40,85
63,2,21,0,0,0,0,0,0,0,0,7,4,4,2,2,8,2,2,2,30,50,40,60,50,10,40,50,50,50,60
24,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,8,2,2,2,100,0,3,100,0,0,0,0,0,0,0
38,2,24,1,0,0,0,0,0,0,0,77,2,2,1,2,1,2,2,2,15,65,80,15,70,65,35,65,20,50,85
22,1,1,1,0,0,0,0,0,0,0,4,4,3,2,3,8,2,1,2,0,0,99,56,34,75,34,45,32,56,43
36,2,18,1,1,1,0,0,0,0,0,77,4,3,1,3,2,2,2,2,35,65,75,40,80,70,60,40,90,70,90
70,2,4,1,1,0,0,0,0,1,0,7,7,4,2,5,8,2,2,2,100,0,0,100,0,0,60,0,99,99,100
76,1,5,1,2,0,0,0,1,1,0,77,1,3,1,2,2,2,2,2,0,95,100,0,50,95,0,80,5,0,95
42,1,3,1,0,0,0,0,0,0,0,3,4,3,1,2,8,2,2,2,60,0,50,60,50,0,50,50,50,50,50
